======================================================================
QLEARNING Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:15:22
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: qlearning
Games Played: 2000
Wins: 9
Win Rate: 0.45%
Evaluation Runtime: 253.43 seconds (4.22 minutes)

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
window_size: 2
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: -120.84
Std Dev Score: 755.52
Min Score: -918.00
Max Score: 11207.00
Median Score: -187.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 662.91 moves
Min Length: 64 moves
Max Length: 2998 moves
Median Length: 505 moves

Q-LEARNING EVALUATION STATISTICS
----------------------------------------------------------------------
Total Actions: 221836
Q-table Actions: 218464
Random Actions: 3372
Q-table Action Percentage: 98.48%
Random Action Percentage: 1.52%
New States Encountered: 3372

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
216    No     -48.00     1222      
217    No     223.00     1071      
218    No     -219.00    745       
219    No     -401.00    933       
220    No     -36.00     1277      
221    No     -228.00    232       
222    No     -104.00    341       
223    No     -179.00    475       
224    No     15.00      825       
225    No     -220.00    539       
226    No     -313.00    217       
227    No     -271.00    181       
228    No     -174.00    430       
229    No     -376.00    1036      
230    No     -19.00     1015      
231    No     -149.00    325       
232    No     -257.00    1069      
233    No     91.00      837       
234    No     -180.00    1110      
235    No     -261.00    991       
236    No     -220.00    568       
237    No     -356.00    106       
238    No     -188.00    232       
239    No     -372.00    94        
240    No     114.00     586       
241    No     -101.00    1202      
242    No     -182.00    244       
243    No     67.00      458       
244    No     -238.00    202       
245    No     -412.00    64        
246    No     -132.00    935       
247    No     -413.00    127       
248    No     -381.00    752       
249    No     -176.00    646       
250    No     -161.00    421       
251    No     -348.00    112       
252    No     -31.00     573       
253    No     -412.00    64        
254    No     -156.00    737       
255    No     -324.00    130       
256    No     -158.00    412       
257    No     -272.00    184       
258    No     -140.00    568       
259    No     -274.00    220       
260    No     -180.00    418       
261    No     -78.00     1794      
262    No     -366.00    166       
263    No     -212.00    724       
264    No     -146.00    286       
265    No     -271.00    721       
266    No     -96.00     498       
267    No     -264.00    700       
268    No     -364.00    100       
269    No     -10.00     1408      
270    No     227.00     1207      
271    No     -412.00    64        
272    No     79.00      663       
273    No     -62.00     965       
274    No     -89.00     445       
275    No     -176.00    436       
276    No     -216.00    466       
277    No     -174.00    850       
278    No     -364.00    100       
279    No     -386.00    858       
280    No     -85.00     733       
281    No     -316.00    136       
282    No     -145.00    733       
283    No     -292.00    1984      
284    No     -172.00    244       
285    No     -140.00    839       
286    No     -306.00    166       
287    No     -46.00     826       
288    No     -136.00    1127      
289    No     -266.00    196       
290    No     -100.00    2998      
291    No     -484.00    100       
292    No     -300.00    808       
293    No     -272.00    1234      
294    Yes    10838.00   994       
295    No     -188.00    352       
296    No     -192.00    1145      
297    No     -316.00    136       
298    No     -153.00    847       
299    No     182.00     504       
300    No     -342.00    1295      
301    No     -500.00    1768      
302    No     -204.00    1180      
303    No     -171.00    271       
304    No     1.00       895       
305    No     -247.00    2059      
306    No     -324.00    130       
307    No     -180.00    660       
308    No     -412.00    64        
309    No     -302.00    814       
310    No     -288.00    772       
311    No     -230.00    1169      
312    No     -128.00    292       
313    No     -188.00    232       
314    No     -356.00    136       
315    No     -212.00    334       
316    No     -412.00    64        
317    No     -234.00    220       
318    No     -82.00     1056      
