episode,avg_reward,static_rewards
199,-343.815,-425.0
200,-344.25373134328356,-432.0
201,-344.5742574257426,-409.0
202,-345.0295566502463,-437.0
203,-345.4656862745098,-434.0
204,-346.00975609756097,-457.0
205,-346.90291262135923,-530.0
206,-347.3816425120773,-446.0
207,-347.7355769230769,-421.0
208,-347.9425837320574,-391.0
209,-348.0904761904762,-379.0
210,-348.65876777251185,-468.0
211,-349.24528301886795,-473.0
212,-349.6619718309859,-438.0
213,-349.7710280373832,-373.0
214,-350.30697674418604,-465.0
215,-347.48148148148147,260.0
216,-347.82027649769583,-421.0
217,-348.05045871559633,-398.0
218,-345.6849315068493,170.0
219,-346.3545454545455,-493.0
220,-346.7420814479638,-432.0
221,-347.27027027027026,-464.0
222,-347.86547085201795,-480.0
223,-345.6875,140.0
224,-346.1644444444444,-453.0
225,-346.5353982300885,-430.0
226,-346.62555066079295,-367.0
227,-347.2324561403509,-485.0
228,-347.48471615720524,-405.0
229,-348.1391304347826,-498.0
230,-348.54978354978357,-443.0
231,-348.98706896551727,-450.0
232,-349.05150214592277,-364.0
233,-349.44444444444446,-441.0
234,-349.79574468085104,-432.0
235,-350.25847457627117,-459.0
236,-348.40084388185653,90.0
237,-348.70168067226894,-420.0
238,-349.1966527196653,-467.0
239,-349.21666666666664,-354.0
240,-349.45228215767634,-406.0
241,-349.64462809917353,-396.0
242,-349.9794238683128,-431.0
243,-350.3975409836066,-452.0
244,-351.0979591836735,-522.0
245,-351.5975609756098,-474.0
246,-351.8421052631579,-412.0
247,-350.2217741935484,50.0
248,-350.425702811245,-401.0
249,-350.968,-486.0
250,-351.41035856573706,-462.0
251,-351.75396825396825,-438.0
252,-352.0513833992095,-427.0
253,-351.79133858267716,-286.0
254,-352.0549019607843,-419.0
255,-352.234375,-398.0
256,-352.26459143968873,-360.0
257,-351.9108527131783,-261.0
258,-352.2162162162162,-431.0
259,-352.17692307692306,-342.0
260,-352.4712643678161,-429.0
261,-352.7328244274809,-421.0
262,-350.8212927756654,150.0
263,-351.0719696969697,-417.0
