episode,avg_reward,static_rewards
0,-504.0,-504.0
1,-514.5,-525.0
2,-490.6666666666667,-443.0
3,-489.0,-484.0
4,-485.2,-470.0
5,-491.6666666666667,-524.0
6,-495.0,-515.0
7,-505.25,-577.0
8,-498.3333333333333,-443.0
9,-496.2,-477.0
10,-498.45454545454544,-521.0
11,-496.1666666666667,-471.0
12,-491.0769230769231,-430.0
13,-493.14285714285717,-520.0
14,-493.8666666666667,-504.0
15,-483.0625,-321.0
16,-478.8235294117647,-411.0
17,-479.8333333333333,-497.0
18,-476.5263157894737,-417.0
19,-474.1,-428.0
20,-474.6190476190476,-485.0
21,-474.90909090909093,-481.0
22,-469.69565217391306,-355.0
23,-470.2916666666667,-484.0
24,-472.56,-527.0
25,-474.3076923076923,-518.0
26,-473.4074074074074,-450.0
27,-475.7857142857143,-540.0
28,-474.6896551724138,-444.0
29,-473.7,-445.0
30,-471.7096774193548,-412.0
31,-472.21875,-488.0
32,-472.6060606060606,-485.0
33,-470.8529411764706,-413.0
34,-471.65714285714284,-499.0
35,-471.0833333333333,-451.0
36,-470.56756756756755,-452.0
37,-469.7894736842105,-441.0
38,-469.97435897435895,-477.0
39,-470.45,-489.0
40,-471.1463414634146,-499.0
41,-471.26190476190476,-476.0
42,-470.6744186046512,-446.0
43,-471.1136363636364,-490.0
44,-471.02222222222224,-467.0
45,-471.3478260869565,-486.0
46,-472.3191489361702,-517.0
47,-472.3958333333333,-476.0
48,-472.6734693877551,-486.0
49,-475.12,-595.0
50,-475.3921568627451,-489.0
51,-474.5576923076923,-432.0
52,-475.1320754716981,-505.0
53,-475.1666666666667,-477.0
54,-475.92727272727274,-517.0
55,-476.5892857142857,-513.0
56,-476.3333333333333,-462.0
57,-474.8448275862069,-390.0
58,-474.3898305084746,-448.0
59,-475.1,-517.0
60,-475.60655737704917,-506.0
61,-474.19354838709677,-388.0
62,-473.55555555555554,-434.0
63,-473.625,-478.0
64,-474.9846153846154,-562.0
65,-474.4848484848485,-442.0
66,-475.14925373134326,-519.0
67,-474.61764705882354,-439.0
68,-474.81159420289856,-488.0
69,-474.85714285714283,-478.0
70,-474.92957746478874,-480.0
71,-475.0138888888889,-481.0
72,-475.32876712328766,-498.0
73,-475.9864864864865,-524.0
74,-475.6533333333333,-451.0
75,-475.7105263157895,-480.0
76,-475.87012987012986,-488.0
77,-475.8205128205128,-472.0
78,-476.126582278481,-500.0
79,-476.825,-532.0
80,-476.4320987654321,-445.0
81,-476.8292682926829,-509.0
82,-477.5301204819277,-535.0
83,-477.39285714285717,-466.0
84,-476.81176470588235,-428.0
85,-476.9418604651163,-488.0
86,-477.18390804597703,-498.0
87,-478.67045454545456,-608.0
88,-473.561797752809,-24.0
89,-473.1666666666667,-438.0
90,-473.4725274725275,-501.0
91,-472.8478260869565,-416.0
92,-473.0752688172043,-494.0
93,-472.1914893617021,-390.0
94,-471.94736842105266,-449.0
95,-472.40625,-516.0
96,-472.12371134020617,-445.0
97,-471.7755102040816,-438.0
98,-471.6969696969697,-464.0
99,-472.13,-515.0
100,-472.5940594059406,-519.0
101,-472.77450980392155,-491.0
102,-472.6116504854369,-456.0
103,-472.75,-487.0
104,-473.1047619047619,-510.0
105,-473.5943396226415,-525.0
106,-473.58878504672896,-473.0
107,-472.97222222222223,-407.0
108,-473.8348623853211,-567.0
109,-473.9727272727273,-489.0
110,-474.77477477477476,-563.0
111,-474.88392857142856,-487.0
112,-473.94690265486724,-369.0
113,-473.5964912280702,-434.0
114,-473.67826086956524,-483.0
115,-473.7413793103448,-481.0
116,-474.11965811965814,-518.0
117,-473.8135593220339,-438.0
118,-473.7226890756302,-463.0
119,-473.1666666666667,-407.0
120,-472.297520661157,-368.0
121,-471.8524590163934,-418.0
122,-471.9186991869919,-480.0
123,-471.75,-451.0
124,-471.64,-458.0
125,-471.8333333333333,-496.0
126,-472.1417322834646,-511.0
127,-471.6484375,-409.0
128,-471.83720930232556,-496.0
129,-471.75384615384615,-461.0
130,-471.51908396946567,-441.0
131,-471.70454545454544,-496.0
132,-471.45112781954884,-438.0
133,-471.6268656716418,-495.0
134,-471.6666666666667,-477.0
135,-472.0882352941176,-529.0
136,-471.992700729927,-459.0
137,-471.89130434782606,-458.0
138,-471.8129496402878,-461.0
139,-471.87142857142857,-480.0
140,-471.78723404255317,-460.0
141,-471.84507042253523,-480.0
142,-471.6083916083916,-438.0
143,-472.1458333333333,-549.0
144,-472.2206896551724,-483.0
145,-472.36986301369865,-494.0
146,-472.7755102040816,-532.0
147,-472.7432432432432,-468.0
148,-473.6510067114094,-608.0
149,-473.56666666666666,-461.0
