episode,reward,avg_reward
121,80.0,-418.2295081967213
122,-482.0,-418.7479674796748
123,-549.0,-419.7983870967742
124,-434.0,-419.912
125,-436.0,-420.03968253968253
126,180.0,-415.31496062992125
127,-538.0,-416.2734375
128,-431.0,-416.38759689922483
129,-449.0,-416.6384615384615
130,-448.0,-416.87786259541986
131,-389.0,-416.6666666666667
132,-461.0,-417.0
133,-436.0,-417.14179104477614
134,-423.0,-417.18518518518516
135,-359.0,-416.75735294117646
136,-461.0,-417.08029197080293
137,-455.0,-417.3550724637681
138,-448.0,-417.57553956834533
139,-504.0,-418.1928571428571
140,-532.0,-419.0
141,-419.0,-419.0
142,-503.0,-419.5874125874126
143,-464.0,-419.8958333333333
144,-447.0,-420.0827586206897
145,-511.0,-420.7054794520548
146,-455.0,-420.9387755102041
147,-379.0,-420.6554054054054
148,-511.0,-421.26174496644296
149,80.0,-417.92
150,-510.0,-418.5298013245033
151,-391.0,-418.3486842105263
152,-463.0,-418.640522875817
153,40.0,-415.6623376623377
154,-90.0,-413.56129032258065
155,-444.0,-413.7564102564103
156,-424.0,-413.8216560509554
157,-421.0,-413.86708860759495
158,-414.0,-413.8679245283019
159,50.0,-410.96875
160,-429.0,-411.0807453416149
161,-472.0,-411.4567901234568
162,-452.0,-411.70552147239266
163,-476.0,-412.0975609756098
164,-518.0,-412.73939393939395
165,-520.0,-413.3855421686747
166,-393.0,-413.2634730538922
167,-429.0,-413.35714285714283
168,-489.0,-413.8047337278106
169,-491.0,-414.25882352941176
170,-443.0,-414.4269005847953
171,-382.0,-414.23837209302326
172,-571.0,-415.1445086705202
173,-467.0,-415.4425287356322
174,-545.0,-416.18285714285713
175,-510.0,-416.71590909090907
176,-475.0,-417.045197740113
177,-433.0,-417.13483146067415
178,-490.0,-417.5418994413408
179,-469.0,-417.8277777777778
180,-434.0,-417.9171270718232
181,-414.0,-417.8956043956044
182,-505.0,-418.37158469945354
183,-467.0,-418.6358695652174
184,-516.0,-419.1621621621622
185,-557.0,-419.9032258064516
186,-455.0,-420.09090909090907
187,-505.0,-420.5425531914894
188,-380.0,-420.32804232804233
189,-450.0,-420.4842105263158
190,-463.0,-420.70680628272254
191,0.0,-418.515625
192,-519.0,-419.0362694300518
193,-393.0,-418.9020618556701
194,-482.0,-419.22564102564104
195,-475.0,-419.51020408163265
196,-459.0,-419.71065989847716
197,-440.0,-419.8131313131313
198,-466.0,-420.04522613065325
199,-492.0,-420.405
200,-169.0,-419.1542288557214
201,-407.0,-419.0940594059406
202,-405.0,-419.02463054187194
203,-514.0,-419.4901960784314
204,-418.0,-419.4829268292683
205,-581.0,-420.2669902912621
206,-457.0,-420.44444444444446
207,-530.0,-420.97115384615387
