episode,avg_reward
0,51.0
1,-21.0
2,-68.33333333333333
3,-94.0
4,-83.2
5,-76.16666666666667
6,-94.28571428571429
7,-78.75
8,-83.55555555555556
9,-71.1
10,-72.9090909090909
11,-68.25
12,-66.07692307692308
13,-69.92857142857143
14,-68.4
15,-66.0
16,-63.411764705882355
17,-59.0
18,-60.31578947368421
19,-54.4
20,-54.666666666666664
21,-57.5
22,-59.65217391304348
23,-62.125
24,-62.76
25,-60.84615384615385
26,-56.592592592592595
27,-58.67857142857143
28,-56.6551724137931
29,-56.36666666666667
30,-59.25806451612903
31,-61.375
32,-58.27272727272727
33,-56.88235294117647
34,-57.82857142857143
35,-56.611111111111114
36,-60.486486486486484
37,-61.18421052631579
38,-62.61538461538461
39,-60.725
40,-62.75609756097561
41,-63.357142857142854
42,-63.06976744186046
43,-64.27272727272727
44,-61.62222222222222
45,-59.54347826086956
46,-59.59574468085106
47,-56.645833333333336
48,-56.10204081632653
49,-54.18
50,-54.15686274509804
51,-54.13461538461539
52,-53.0
53,-50.648148148148145
54,-50.72727272727273
55,-51.375
56,-51.35087719298246
57,-51.08620689655172
58,-50.94915254237288
59,-49.38333333333333
60,-48.21311475409836
61,-48.75806451612903
62,-48.0
63,-48.171875
64,-47.753846153846155
65,-47.81818181818182
66,-49.0
67,-49.661764705882355
68,-50.21739130434783
69,-49.77142857142857
70,-51.08450704225352
71,-51.44444444444444
72,-51.78082191780822
73,-51.74324324324324
74,-51.44
75,-52.328947368421055
76,-49.98701298701299
77,-48.62820512820513
78,-47.835443037974684
79,-47.7875
80,-47.95061728395062
81,-48.1219512195122
82,-45.40963855421687
83,-44.285714285714285
84,-43.082352941176474
85,-43.27906976744186
86,-41.52873563218391
87,-41.38636363636363
88,-41.78651685393258
89,-42.022222222222226
90,-42.032967032967036
91,-40.891304347826086
92,-40.74193548387097
93,-42.02127659574468
94,-42.589473684210525
95,-42.614583333333336
96,-43.06185567010309
97,-43.11224489795919
98,-42.57575757575758
99,-42.4
100,-42.53465346534654
101,-42.14705882352941
102,-41.28155339805825
103,-41.75
104,-41.8
105,-41.89622641509434
106,-42.19626168224299
107,-40.75
108,-40.61467889908257
109,-40.96363636363636
110,-41.52252252252252
111,-41.151785714285715
112,-41.336283185840706
113,-41.324561403508774
114,-40.87826086956522
115,-38.12931034482759
116,-38.401709401709404
117,-38.19491525423729
118,-38.47899159663866
119,-38.13333333333333
120,-37.99173553719008
121,-36.885245901639344
122,-37.390243902439025
123,-38.45967741935484
124,-38.272
125,-38.42063492063492
126,-38.46456692913386
127,-38.5
128,-38.44186046511628
129,-38.97692307692308
130,-39.18320610687023
131,-39.78787878787879
132,-39.75187969924812
133,-39.87313432835821
134,-40.2962962962963
135,-40.39705882352941
136,-40.55474452554745
137,-39.02173913043478
138,-38.194244604316545
139,-38.17857142857143
140,-38.57446808510638
141,-38.76056338028169
142,-38.37762237762238
143,-38.416666666666664
144,-38.50344827586207
145,-38.69178082191781
146,-38.85034013605442
147,-38.20945945945946
148,-37.899328859060404
149,-38.026666666666664
150,-38.10596026490066
151,-38.526315789473685
152,-39.130718954248366
153,-38.86363636363637
154,-38.12258064516129
155,-37.833333333333336
156,-37.6687898089172
157,-37.28481012658228
158,-37.685534591194966
159,-37.2
160,-36.91304347826087
161,-36.06172839506173
162,-35.31901840490798
163,-35.51219512195122
164,-35.81818181818182
165,-35.86144578313253
166,-35.97604790419162
167,-35.75
168,-36.18343195266272
169,-35.3
170,-34.8187134502924
171,-33.91279069767442
172,-33.46820809248555
173,-33.729885057471265
174,-34.0
175,-34.22727272727273
176,-34.463276836158194
177,-34.31460674157304
178,-34.29050279329609
179,-34.53888888888889
180,-34.651933701657455
181,-34.46153846153846
182,-34.295081967213115
183,-34.67934782608695
184,-33.77297297297297
185,-34.02150537634409
186,-34.20320855614973
187,-34.40425531914894
188,-34.148148148148145
189,-34.410526315789475
190,-34.010471204188484
191,-33.421875
192,-33.83937823834197
193,-33.103092783505154
194,-33.41025641025641
195,-33.607142857142854
196,-33.45685279187817
197,-33.11616161616162
198,-32.869346733668344
199,-32.465
200,-32.54726368159204
201,-32.51485148514851
202,-32.251231527093594
203,-32.15196078431372
