======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-05 20:19:18
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 2000
Wins: 963
Win Rate: 48.15%
Evaluation Runtime: 336.96 seconds (5.62 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 896.85
Std Dev: 493.68
Min Score: -108.00
Max Score: 1990.00
Median Score: 955.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 718.20 moves
Min Length: 192 moves
Max Length: 2998 moves
Median Length: 784 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      Yes    1689.00    1141      
2      Yes    1362.00    922       
3      No     402.00     232       
4      Yes    1598.00    814       
5      Yes    1627.00    727       
6      No     242.00     262       
7      No     177.00     217       
8      No     242.00     262       
9      No     145.00     193       
10     Yes    1468.00    1204      
11     Yes    1156.00    1540      
12     No     707.00     999       
13     No     452.00     322       
14     No     731.00     685       
15     Yes    1173.00    889       
16     Yes    1156.00    940       
17     No     657.00     699       
18     No     530.00     328       
19     No     159.00     211       
20     No     1180.00    810       
21     Yes    1276.00    1180      
22     No     353.00     199       
23     No     614.00     406       
24     Yes    1384.00    856       
25     Yes    1043.00    1279      
26     No     297.00     427       
27     Yes    1368.00    904       
28     No     803.00     739       
29     Yes    1183.00    859       
30     No     852.00     1193      
31     Yes    1371.00    895       
32     Yes    1331.00    1015      
33     Yes    1407.00    787       
34     No     169.00     211       
35     Yes    1383.00    859       
36     No     684.00     586       
37     No     1102.00    1073      
38     No     704.00     978       
39     No     550.00     450       
40     Yes    1803.00    799       
41     No     482.00     562       
42     No     708.00     544       
43     Yes    1591.00    835       
44     No     481.00     297       
45     No     495.00     523       
46     Yes    1390.00    838       
47     No     808.00     724       
48     Yes    1359.00    931       
49     Yes    1331.00    1015      
50     Yes    1488.00    1144      
51     No     345.00     193       
52     No     397.00     487       
53     No     202.00     232       
54     Yes    1415.00    763       
55     No     143.00     229       
56     Yes    1147.00    967       
57     Yes    1384.00    856       
58     No     607.00     727       
59     Yes    1171.00    895       
60     Yes    1184.00    856       
61     No     242.00     262       
62     Yes    1220.00    748       
63     Yes    1298.00    1114      
64     No     121.00     205       
65     Yes    1389.00    841       
66     Yes    1364.00    916       
67     Yes    1175.00    883       
68     No     358.00     544       
69     No     690.00     808       
70     Yes    1821.00    745       
71     No     392.00     532       
72     Yes    1184.00    856       
73     No     982.00     712       
74     Yes    1409.00    781       
75     No     750.00     569       
76     Yes    1123.00    1039      
77     No     393.00     230       
78     No     345.00     193       
79     No     576.00     760       
80     No     686.00     910       
81     No     145.00     193       
82     Yes    1559.00    931       
83     No     169.00     211       
84     Yes    1182.00    862       
85     No     808.00     546       
86     Yes    1403.00    799       
87     No     634.00     256       
88     No     153.00     199       
89     Yes    1180.00    868       
90     No     145.00     193       
91     Yes    1421.00    745       
92     Yes    1392.00    832       
93     No     756.00     701       
94     Yes    1315.00    1063      
95     No     526.00     340       
96     Yes    1393.00    829       
97     No     125.00     193       
98     No     713.00     799       
99     Yes    1379.00    871       
100    Yes    1374.00    886       
101    Yes    1367.00    907       
102    No     743.00     800       
103    Yes    1338.00    994       
104    Yes    1193.00    829       
