======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-05 11:23:47
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 10000
Wins: 6313
Win Rate: 63.13%
Evaluation Runtime: 2219.47 seconds (36.99 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1174.78
Std Dev: 453.59
Min Score: -190.00
Max Score: 2017.00
Median Score: 1337.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 851.03 moves
Min Length: 177 moves
Max Length: 2998 moves
Median Length: 858 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      Yes    1707.00    1087      
2      Yes    1597.00    817       
3      Yes    1581.00    865       
4      Yes    1789.00    841       
5      No     1050.00    539       
6      No     834.00     618       
7      Yes    1365.00    913       
8      No     1030.00    539       
9      No     678.00     335       
10     Yes    1565.00    913       
11     No     920.00     689       
12     No     580.00     390       
13     No     360.00     2998      
14     No     392.00     263       
15     No     942.00     954       
16     Yes    1692.00    1132      
17     Yes    1937.00    997       
18     Yes    1345.00    973       
19     Yes    1953.00    949       
20     Yes    1405.00    793       
21     Yes    1393.00    829       
22     Yes    1533.00    1009      
23     Yes    1276.00    1180      
24     No     388.00     275       
25     No     782.00     414       
26     No     822.00     653       
27     No     544.00     857       
28     No     379.00     273       
29     Yes    1365.00    913       
30     Yes    1748.00    964       
31     Yes    1793.00    829       
32     Yes    1345.00    973       
33     No     842.00     682       
34     No     301.00     535       
35     Yes    1340.00    988       
36     No     364.00     228       
37     Yes    1397.00    817       
38     Yes    1565.00    913       
39     Yes    1321.00    1045      
40     No     391.00     237       
41     Yes    1577.00    877       
42     Yes    1696.00    1120      
43     Yes    1350.00    958       
44     No     686.00     672       
45     No     556.00     732       
46     Yes    1536.00    1000      
47     No     730.00     870       
48     Yes    1549.00    961       
49     Yes    1581.00    865       
50     Yes    1564.00    916       
51     Yes    1743.00    979       
52     No     830.00     600       
53     Yes    1345.00    973       
54     No     968.00     876       
55     No     438.00     575       
56     Yes    1141.00    985       
57     Yes    1589.00    841       
58     No     500.00     1110      
59     No     843.00     530       
60     Yes    1377.00    877       
61     Yes    1589.00    841       
62     Yes    1333.00    1009      
63     Yes    1545.00    973       
