======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-03 13:18:17
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Games Played: 20000
Wins: 13181
Win Rate: 65.91%
Evaluation Runtime: 5698.96 seconds (94.98 minutes)

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1227.97
Std Dev: 448.74
Min Score: -87.00
Max Score: 2029.00
Median Score: 1366.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 858.21 moves
Min Length: 100 moves
Max Length: 2998 moves
Median Length: 853 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
218    No     1162.00    743       
219    Yes    1357.00    937       
220    Yes    1617.00    757       
221    No     589.00     513       
222    Yes    1381.00    865       
223    Yes    1361.00    925       
224    Yes    1605.00    793       
225    Yes    1357.00    937       
226    Yes    1180.00    868       
227    Yes    1573.00    889       
228    Yes    1585.00    853       
229    No     798.00     1176      
230    Yes    1197.00    817       
231    Yes    1593.00    829       
232    Yes    1145.00    973       
233    Yes    1749.00    961       
234    Yes    1617.00    757       
235    Yes    1141.00    985       
236    Yes    1281.00    1165      
237    No     662.00     714       
238    No     877.00     727       
239    No     393.00     409       
240    No     914.00     736       
241    No     700.00     929       
242    No     658.00     366       
243    Yes    1785.00    853       
244    Yes    1571.00    895       
245    Yes    1497.00    1117      
246    Yes    1577.00    877       
247    No     892.00     983       
248    Yes    1405.00    793       
249    Yes    1581.00    865       
250    Yes    1581.00    865       
251    Yes    1397.00    817       
252    Yes    1805.00    793       
253    Yes    1524.00    1036      
254    Yes    1573.00    889       
255    No     608.00     606       
256    Yes    1581.00    865       
257    No     428.00     2496      
258    Yes    1573.00    889       
259    No     909.00     1052      
260    No     694.00     556       
261    Yes    1149.00    961       
262    No     1168.00    725       
263    No     545.00     404       
264    Yes    1769.00    901       
265    No     885.00     613       
266    No     956.00     912       
267    Yes    1153.00    949       
268    Yes    1581.00    865       
269    Yes    1149.00    961       
270    Yes    1353.00    949       
271    No     839.00     1262      
272    Yes    1589.00    841       
273    Yes    1385.00    853       
274    Yes    1157.00    937       
275    Yes    1145.00    973       
276    Yes    1757.00    937       
277    No     473.00     349       
278    Yes    1777.00    877       
279    No     596.00     491       
280    No     656.00     401       
281    Yes    1381.00    865       
282    Yes    1541.00    985       
283    Yes    1565.00    913       
284    Yes    1589.00    841       
285    Yes    1349.00    961       
286    No     93.00      229       
287    No     1158.00    695       
288    Yes    1605.00    793       
289    Yes    1401.00    805       
290    Yes    1773.00    889       
291    No     724.00     647       
292    No     978.00     756       
293    Yes    1125.00    1033      
294    No     449.00     631       
295    Yes    1561.00    925       
296    Yes    1573.00    889       
297    Yes    1561.00    925       
298    Yes    1093.00    1129      
299    Yes    1381.00    865       
300    Yes    1557.00    937       
301    No     1128.00    995       
302    Yes    1585.00    853       
303    Yes    1747.00    967       
304    Yes    1110.00    1078      
305    Yes    1381.00    865       
306    No     100.00     2998      
307    Yes    1405.00    793       
308    No     730.00     990       
309    Yes    1557.00    937       
310    No     658.00     814       
311    No     744.00     706       
312    No     698.00     756       
313    Yes    1516.00    1060      
314    Yes    1625.00    733       
315    Yes    1741.00    985       
316    No     860.00     630       
317    No     1156.00    700       
318    No     347.00     278       
319    No     418.00     274       
320    No     844.00     528       
321    Yes    1785.00    853       
322    No     55.00      193       
323    No     464.00     347       
324    Yes    1817.00    757       
325    Yes    1397.00    817       
326    No     442.00     414       
327    Yes    1373.00    889       
328    No     678.00     1144      
329    Yes    1569.00    901       
330    Yes    1389.00    841       
331    Yes    1525.00    1033      
332    Yes    1773.00    889       
333    No     607.00     638       
334    No     580.00     479       
335    Yes    1121.00    1045      
336    No     398.00     394       
337    No     876.00     821       
338    No     38.00      154       
339    Yes    1173.00    889       
340    No     356.00     250       
341    Yes    1677.00    1177      
342    No     468.00     394       
343    Yes    1385.00    853       
344    Yes    1569.00    901       
345    Yes    1553.00    949       
346    Yes    1589.00    841       
347    Yes    1561.00    925       
348    Yes    1353.00    949       
349    Yes    1329.00    1021      
350    Yes    1593.00    829       
351    Yes    1645.00    1273      
352    Yes    1549.00    961       
353    Yes    1989.00    841       
354    No     1134.00    828       
355    No     922.00     864       
356    No     728.00     876       
357    Yes    1397.00    817       
358    Yes    1205.00    1393      
359    No     349.00     481       
360    No     -62.00     154       
361    Yes    1183.00    859       
362    Yes    1373.00    889       
363    Yes    1673.00    1189      
364    Yes    1609.00    781       
365    Yes    1289.00    1741      
366    Yes    1417.00    757       
367    Yes    1589.00    841       
368    No     930.00     630       
369    Yes    1517.00    1057      
370    No     594.00     1186      
371    Yes    1041.00    1285      
372    Yes    1403.00    1399      
373    Yes    1342.00    982       
374    Yes    1345.00    973       
375    Yes    1537.00    997       
376    Yes    1153.00    949       
377    Yes    1577.00    877       
378    Yes    1585.00    853       
379    No     1124.00    646       
380    Yes    1232.00    1312      
381    Yes    1813.00    769       
382    Yes    1569.00    901       
383    Yes    1593.00    829       
384    No     1034.00    797       
385    No     779.00     721       
386    No     555.00     435       
387    Yes    1389.00    1441      
388    No     572.00     862       
389    No     1366.00    762       
390    No     910.00     808       
391    No     998.00     485       
392    No     369.00     272       
393    No     984.00     467       
394    Yes    1577.00    877       
395    Yes    1613.00    769       
396    Yes    1409.00    781       
397    Yes    1600.00    808       
398    Yes    1423.00    1339      
399    Yes    1495.00    1123      
400    Yes    1785.00    853       
401    No     954.00     768       
402    No     792.00     502       
403    Yes    1564.00    916       
404    No     300.00     180       
405    Yes    1593.00    829       
406    Yes    2009.00    781       
407    Yes    1569.00    901       
408    Yes    1345.00    973       
409    Yes    1605.00    793       
410    Yes    1345.00    973       
411    No     948.00     635       
412    Yes    1545.00    973       
413    Yes    1506.00    1090      
414    No     718.00     666       
415    Yes    1541.00    985       
416    No     1165.00    883       
417    Yes    1565.00    913       
418    Yes    1541.00    985       
419    No     936.00     822       
420    Yes    1314.00    1066      
421    Yes    1633.00    1309      
422    Yes    1593.00    829       
423    No     714.00     708       
424    No     620.00     598       
425    Yes    1197.00    817       
426    Yes    1316.00    1060      
427    No     1262.00    563       
428    Yes    1789.00    841       
429    No     476.00     701       
430    Yes    1004.00    1396      
431    Yes    1357.00    937       
432    Yes    1754.00    946       
433    Yes    1445.00    1873      
434    Yes    1585.00    853       
435    Yes    1185.00    853       
436    Yes    1389.00    841       
437    Yes    1565.00    913       
438    Yes    1717.00    1057      
439    Yes    1601.00    805       
440    Yes    1153.00    949       
441    Yes    1601.00    805       
442    Yes    1565.00    913       
443    Yes    1349.00    961       
444    Yes    1521.00    1045      
445    No     154.00     316       
446    Yes    1377.00    877       
447    Yes    1157.00    937       
448    No     676.00     642       
449    Yes    1397.00    817       
450    No     704.00     736       
451    Yes    1329.00    1021      
452    Yes    1413.00    769       
453    Yes    1789.00    841       
454    Yes    1325.00    1033      
455    No     72.00      142       
456    Yes    1533.00    1009      
457    No     934.00     797       
458    Yes    1333.00    1009      
459    Yes    1329.00    1021      
460    Yes    1317.00    1057      
461    Yes    1605.00    793       
462    Yes    1789.00    841       
463    Yes    1393.00    829       
464    Yes    1585.00    853       
465    No     914.00     526       
466    Yes    1369.00    901       
467    No     579.00     603       
468    Yes    1581.00    865       
469    No     858.00     845       
470    Yes    1397.00    817       
471    No     567.00     549       
472    Yes    1149.00    961       
473    Yes    1609.00    781       
474    Yes    1561.00    925       
475    No     50.00      148       
476    No     1122.00    714       
477    Yes    1773.00    889       
478    Yes    1565.00    913       
479    No     505.00     345       
480    Yes    1317.00    1057      
481    Yes    1577.00    877       
482    No     1091.00    746       
483    No     332.00     444       
484    No     445.00     403       
485    No     611.00     806       
486    No     844.00     588       
487    No     404.00     438       
488    Yes    1089.00    1741      
489    No     362.00     1912      
490    Yes    1393.00    829       
491    Yes    1793.00    829       
492    No     412.00     1193      
493    Yes    1578.00    874       
494    No     430.00     778       
495    No     648.00     634       
496    Yes    1369.00    901       
497    No     1060.00    630       
498    No     733.00     409       
499    Yes    1741.00    985       
500    No     759.00     813       
501    Yes    1777.00    877       
502    Yes    1177.00    877       
503    Yes    1377.00    877       
504    No     650.00     538       
505    No     894.00     1518      
506    Yes    1377.00    877       
507    Yes    791.00     2035      
508    No     710.00     1048      
509    No     246.00     400       
510    Yes    1401.00    805       
511    No     1114.00    707       
512    Yes    1601.00    805       
513    Yes    1973.00    889       
514    Yes    1509.00    1081      
515    Yes    1053.00    2449      
516    Yes    1394.00    826       
517    Yes    1577.00    877       
518    Yes    1577.00    877       
519    Yes    1589.00    841       
520    Yes    1553.00    949       
521    Yes    1201.00    805       
522    No     822.00     1162      
523    No     1042.00    594       
524    No     908.00     935       
525    No     725.00     465       
526    Yes    1813.00    769       
527    No     596.00     852       
528    No     407.00     309       
529    No     466.00     342       
530    Yes    2005.00    793       
531    Yes    1377.00    877       
532    Yes    1293.00    1129      
533    No     932.00     864       
534    Yes    1281.00    1165      
535    No     728.00     424       
536    No     466.00     400       
537    Yes    1505.00    1093      
538    No     436.00     341       
539    No     160.00     2998      
540    Yes    1621.00    745       
541    Yes    1193.00    829       
542    Yes    1749.00    961       
543    Yes    1997.00    817       
544    No     908.00     666       
545    Yes    1565.00    913       
546    No     1210.00    540       
547    No     926.00     672       
548    No     746.00     822       
549    No     640.00     598       
550    Yes    1593.00    829       
551    Yes    1405.00    793       
552    Yes    1217.00    757       
553    No     648.00     666       
554    Yes    1805.00    793       
555    Yes    1381.00    865       
556    No     485.00     403       
557    Yes    1285.00    1153      
558    Yes    1381.00    865       
559    Yes    1609.00    781       
560    Yes    1729.00    1021      
561    Yes    1405.00    1393      
562    Yes    1649.00    1261      
563    No     752.00     744       
564    Yes    1333.00    1009      
565    Yes    1581.00    865       
566    Yes    1397.00    817       
567    Yes    1569.00    901       
568    Yes    1345.00    973       
569    Yes    1733.00    1009      
570    Yes    1601.00    805       
571    No     1012.00    472       
572    No     580.00     1318      
573    Yes    1525.00    1033      
574    Yes    1575.00    883       
575    Yes    1569.00    901       
576    Yes    1389.00    841       
577    Yes    1389.00    841       
578    Yes    1189.00    841       
579    Yes    1809.00    781       
580    Yes    1805.00    793       
581    No     834.00     617       
582    No     907.00     608       
583    No     1170.00    749       
584    Yes    1597.00    817       
585    Yes    1725.00    1033      
586    Yes    1573.00    889       
587    Yes    1781.00    865       
588    Yes    1405.00    793       
589    Yes    1385.00    853       
590    Yes    1389.00    841       
591    No     928.00     664       
592    No     1052.00    533       
593    No     236.00     280       
594    No     962.00     444       
595    No     1109.00    901       
596    Yes    1137.00    997       
597    Yes    1393.00    829       
598    No     1164.00    678       
599    Yes    1201.00    805       
600    Yes    1805.00    793       
601    Yes    1241.00    1285      
602    Yes    1417.00    1357      
603    Yes    1381.00    865       
604    Yes    1593.00    829       
605    Yes    1585.00    853       
606    No     663.00     649       
607    Yes    1613.00    769       
608    Yes    1373.00    889       
609    No     144.00     226       
610    Yes    1306.00    1090      
611    Yes    1381.00    865       
612    Yes    1502.00    1102      
613    Yes    1522.00    1042      
614    Yes    1785.00    853       
615    Yes    1545.00    973       
616    Yes    1797.00    817       
617    Yes    1333.00    1009      
618    Yes    1589.00    841       
619    Yes    1589.00    841       
620    Yes    1377.00    877       
621    No     515.00     1513      
622    Yes    1573.00    889       
623    Yes    1809.00    781       
624    Yes    1341.00    985       
625    Yes    1573.00    889       
626    Yes    1813.00    769       
627    Yes    1329.00    1021      
628    Yes    1365.00    1513      
