episode,avg_reward
0,-413.0
1,-359.0
2,-371.6666666666667
3,-229.5
4,-262.0
5,-288.1666666666667
6,-284.0
7,-299.75
8,-318.77777777777777
9,-279.9
10,-299.3636363636364
11,-262.5833333333333
12,-276.61538461538464
13,-290.64285714285717
14,-252.86666666666667
15,-240.75
16,-208.64705882352942
17,-212.61111111111111
18,-223.10526315789474
19,-234.2
20,-241.95238095238096
21,-250.63636363636363
22,-244.1304347826087
23,-252.41666666666666
24,-262.0
25,-245.07692307692307
26,-252.77777777777777
27,-258.7857142857143
28,-263.58620689655174
29,-268.76666666666665
30,-272.64516129032256
31,-273.78125
32,-275.42424242424244
33,-275.79411764705884
34,-277.14285714285717
35,-275.8611111111111
36,-280.86486486486484
37,-278.4736842105263
38,-282.28205128205127
39,-283.575
40,-284.780487804878
41,-286.0238095238095
42,-287.2325581395349
43,-286.25
44,-289.68888888888887
45,-291.3478260869565
46,-293.21276595744683
47,-297.5
48,-301.59183673469386
49,-290.8
50,-293.98039215686276
51,-291.8076923076923
52,-280.39622641509436
53,-283.27777777777777
54,-288.1090909090909
55,-289.07142857142856
56,-292.3859649122807
57,-293.2068965517241
58,-294.6779661016949
59,-297.5833333333333
60,-299.55737704918033
61,-300.2741935483871
62,-301.3492063492063
63,-302.296875
64,-302.4923076923077
65,-296.22727272727275
66,-289.04477611940297
67,-291.36764705882354
68,-291.8550724637681
69,-284.0
70,-285.07042253521126
71,-278.1666666666667
72,-280.4109589041096
73,-281.5810810810811
74,-284.04
75,-285.2105263157895
76,-287.38961038961037
77,-289.44871794871796
78,-287.8354430379747
79,-289.475
80,-291.30864197530866
81,-290.5853658536585
82,-289.4096385542169
83,-290.8095238095238
84,-290.8705882352941
85,-291.24418604651163
86,-292.6896551724138
87,-292.32954545454544
88,-287.76404494382024
89,-288.4
90,-282.2637362637363
91,-276.7826086956522
92,-274.1505376344086
93,-276.48936170212767
94,-277.58947368421053
95,-279.1354166666667
96,-279.9381443298969
97,-281.44897959183675
98,-283.1515151515151
99,-283.22
100,-283.6930693069307
101,-284.5980392156863
102,-280.0873786407767
103,-281.2692307692308
104,-282.65714285714284
105,-284.2169811320755
106,-285.04672897196264
107,-285.462962962963
108,-286.3669724770642
109,-287.8272727272727
110,-287.13513513513516
111,-287.99107142857144
112,-287.82300884955754
113,-287.7719298245614
114,-288.37391304347824
115,-289.32758620689657
116,-290.05982905982904
117,-290.5762711864407
118,-285.5966386554622
119,-286.09166666666664
120,-281.7190082644628
121,-283.2295081967213
122,-278.1707317073171
123,-277.8790322580645
124,-278.8
125,-279.5079365079365
126,-279.20472440944883
127,-280.0859375
128,-280.8837209302326
129,-276.9384615384615
130,-277.48854961832063
131,-278.3333333333333
132,-278.5563909774436
133,-279.43283582089555
134,-279.3777777777778
135,-276.4264705882353
136,-277.53284671532845
137,-274.8985507246377
138,-275.41726618705036
139,-277.15714285714284
140,-277.5531914893617
141,-277.3732394366197
142,-278.3006993006993
143,-278.7013888888889
144,-279.31724137931036
145,-280.1164383561644
146,-280.5034013605442
147,-281.6283783783784
148,-282.56375838926175
149,-283.79333333333335
150,-283.50993377483445
151,-279.9605263157895
152,-280.9673202614379
153,-281.8181818181818
154,-282.3225806451613
155,-282.4871794871795
156,-283.484076433121
157,-284.7911392405063
158,-284.49685534591197
159,-281.58125
160,-281.360248447205
161,-281.4259259259259
162,-282.46625766871165
163,-279.530487804878
164,-276.9030303030303
165,-277.37951807228916
166,-277.125748502994
167,-275.0357142857143
168,-273.40236686390534
169,-273.56470588235294
170,-273.7602339181287
171,-274.6453488372093
172,-275.02890173410407
173,-276.4310344827586
174,-277.0628571428571
175,-276.29545454545456
176,-277.2146892655367
177,-275.7584269662921
