episode,avg_reward,static_rewards
206,-455.7536231884058,-484.0
207,-455.6057692307692,-425.0
208,-455.8373205741627,-504.0
209,-455.4761904761905,-380.0
210,-455.29383886255926,-417.0
211,-455.45754716981133,-490.0
212,-455.09859154929575,-379.0
213,-455.25233644859816,-488.0
214,-455.13488372093025,-430.0
215,-455.787037037037,-596.0
216,-455.91244239631334,-483.0
217,-455.8348623853211,-439.0
218,-455.95433789954336,-482.0
219,-455.7772727272727,-417.0
220,-455.8914027149321,-481.0
221,-456.22522522522524,-530.0
222,-456.1793721973094,-446.0
223,-456.05357142857144,-428.0
224,-456.20444444444445,-490.0
225,-455.9026548672566,-388.0
226,-455.784140969163,-429.0
227,-455.60087719298247,-414.0
228,-455.5982532751092,-455.0
229,-455.53913043478263,-442.0
230,-455.3722943722944,-417.0
231,-455.1810344827586,-411.0
232,-455.3648068669528,-498.0
233,-455.5726495726496,-504.0
234,-455.3531914893617,-404.0
235,-455.5635593220339,-505.0
236,-455.7932489451477,-510.0
237,-455.8109243697479,-460.0
238,-455.8702928870293,-470.0
239,-455.77916666666664,-434.0
240,-456.01659751037346,-513.0
241,-455.9297520661157,-435.0
242,-455.8641975308642,-440.0
243,-455.8893442622951,-462.0
244,-456.24897959183676,-544.0
245,-456.349593495935,-481.0
246,-456.51417004048585,-497.0
247,-456.5443548387097,-464.0
248,-456.714859437751,-499.0
249,-456.8,-478.0
250,-456.81274900398404,-460.0
251,-456.8333333333333,-462.0
252,-457.00790513833994,-501.0
253,-457.2165354330709,-510.0
254,-457.09019607843135,-425.0
255,-457.26171875,-501.0
256,-457.11284046692606,-419.0
257,-456.73643410852713,-360.0
258,-456.57528957528956,-415.0
259,-456.4153846153846,-415.0
260,-456.4214559386973,-458.0
261,-456.5381679389313,-487.0
262,-457.0874524714829,-601.0
263,-457.1969696969697,-486.0
264,-456.98867924528304,-402.0
265,-456.56390977443607,-344.0
266,-456.7003745318352,-493.0
267,-456.7164179104478,-461.0
268,-456.6059479553903,-427.0
269,-456.2185185185185,-352.0
270,-456.15867158671585,-440.0
271,-456.11764705882354,-445.0
272,-456.1868131868132,-475.0
273,-456.2919708029197,-485.0
274,-456.3454545454546,-471.0
275,-456.42391304347825,-478.0
276,-456.42238267148014,-456.0
277,-456.3021582733813,-423.0
278,-456.1290322580645,-408.0
279,-456.17857142857144,-470.0
280,-456.3131672597865,-494.0
281,-456.1808510638298,-419.0
282,-456.25088339222617,-476.0
283,-456.0669014084507,-404.0
284,-456.29122807017546,-520.0
285,-456.42657342657344,-495.0
286,-456.5121951219512,-481.0
287,-456.7361111111111,-521.0
288,-456.6643598615917,-436.0
289,-456.7103448275862,-470.0
290,-456.8109965635739,-486.0
291,-456.9075342465753,-485.0
292,-456.8976109215017,-454.0
293,-456.5850340136054,-365.0
294,-456.5322033898305,-441.0
295,-456.9594594594595,-583.0
296,-457.037037037037,-480.0
297,-456.758389261745,-374.0
298,-456.5953177257525,-408.0
299,-456.4766666666667,-421.0
300,-456.6777408637874,-517.0
301,-456.7682119205298,-484.0
302,-456.963696369637,-516.0
303,-457.25986842105266,-547.0
304,-457.04590163934427,-392.0
305,-457.1307189542484,-483.0
306,-456.9771986970684,-410.0
307,-456.3538961038961,-265.0
308,-456.50485436893206,-503.0
309,-456.63870967741934,-498.0
310,-456.5273311897106,-422.0
311,-456.5416666666667,-461.0
312,-456.90415335463257,-570.0
313,-456.671974522293,-384.0
314,-456.7206349206349,-472.0
315,-456.79430379746833,-480.0
316,-456.7255520504732,-435.0
317,-456.6981132075472,-448.0
318,-456.59247648902823,-423.0
319,-456.553125,-444.0
320,-456.613707165109,-476.0
321,-456.62111801242236,-459.0
322,-456.73065015479875,-492.0
323,-456.75,-463.0
324,-456.8707692307692,-496.0
325,-456.83435582822085,-445.0
326,-456.9663608562691,-500.0
327,-456.9481707317073,-451.0
328,-457.08814589665656,-503.0
329,-457.26060606060605,-514.0
330,-457.09365558912384,-402.0
331,-457.06325301204816,-447.0
332,-456.97297297297297,-427.0
333,-457.11976047904193,-506.0
334,-457.1761194029851,-476.0
335,-457.19940476190476,-465.0
336,-457.62314540059344,-600.0
337,-457.396449704142,-381.0
338,-457.4719764011799,-483.0
339,-457.6264705882353,-510.0
340,-457.72727272727275,-492.0
341,-458.10233918128654,-586.0
342,-458.2040816326531,-493.0
343,-458.27906976744185,-484.0
344,-458.2840579710145,-460.0
345,-458.2543352601156,-448.0
346,-458.4005763688761,-509.0
347,-458.1867816091954,-384.0
348,-458.07449856733524,-419.0
349,-457.7314285714286,-338.0
350,-457.5897435897436,-408.0
351,-457.8693181818182,-556.0
352,-458.0056657223796,-506.0
353,-458.15819209039546,-512.0
354,-458.14084507042253,-452.0
355,-458.14325842696627,-459.0
356,-458.42296918767505,-558.0
357,-458.3072625698324,-417.0
358,-458.37883008356545,-484.0
359,-458.4277777777778,-476.0
360,-458.387811634349,-444.0
361,-458.2651933701657,-414.0
362,-458.22314049586777,-443.0
363,-458.0796703296703,-406.0
364,-458.0876712328767,-461.0
365,-458.1584699453552,-484.0
366,-458.2043596730245,-475.0
367,-458.13858695652175,-434.0
368,-458.0975609756098,-443.0
369,-458.1216216216216,-467.0
370,-458.4258760107817,-571.0
371,-458.5510752688172,-505.0
372,-458.5898123324397,-473.0
373,-458.72727272727275,-510.0
374,-459.0586666666667,-583.0
375,-459.1648936170213,-499.0
376,-458.85411140583557,-342.0
377,-458.968253968254,-502.0
378,-458.8284960422164,-406.0
379,-459.21315789473687,-605.0
380,-459.2703412073491,-481.0
381,-459.20942408376965,-436.0
382,-459.1984334203655,-455.0
383,-459.3203125,-506.0
384,-459.5012987012987,-529.0
385,-459.3523316062176,-402.0
386,-459.35400516795863,-460.0
387,-459.28092783505156,-431.0
388,-458.7737789203085,-262.0
389,-458.7846153846154,-463.0
390,-458.8312020460358,-477.0
391,-458.4795918367347,-321.0
392,-458.412213740458,-432.0
393,-458.48477157360406,-487.0
394,-458.52911392405065,-476.0
395,-458.3459595959596,-386.0
396,-458.2770780856423,-431.0
397,-458.1532663316583,-409.0
398,-458.1077694235589,-440.0
399,-458.21,-499.0
400,-458.359102244389,-518.0
401,-458.1592039800995,-378.0
402,-458.24317617866006,-492.0
403,-458.4480198019802,-541.0
404,-458.4320987654321,-452.0
405,-458.5049261083744,-488.0
406,-458.66093366093367,-522.0
407,-458.6862745098039,-469.0
408,-458.4083129584352,-345.0
409,-458.3658536585366,-441.0
410,-458.2822384428224,-424.0
411,-458.42233009708735,-516.0
412,-458.319612590799,-416.0
413,-458.30193236714973,-451.0
414,-458.2578313253012,-440.0
415,-458.2548076923077,-457.0
416,-458.27098321342925,-465.0
417,-458.3062200956938,-473.0
418,-458.16229116945107,-398.0
419,-458.2309523809524,-487.0
420,-458.09501187648453,-401.0
421,-457.95971563981044,-401.0
422,-457.78014184397165,-382.0
423,-457.8632075471698,-493.0
424,-457.56470588235294,-331.0
425,-457.62910798122067,-485.0
426,-457.4964871194379,-401.0
427,-457.3948598130841,-414.0
428,-457.5571095571096,-527.0
429,-457.4325581395349,-404.0
430,-457.538283062645,-503.0
431,-457.39351851851853,-395.0
432,-457.21016166281754,-378.0
433,-457.18663594470047,-447.0
434,-457.2689655172414,-493.0
435,-457.3073394495413,-474.0
436,-457.31121281464533,-459.0
437,-457.39269406392697,-493.0
438,-457.4350797266515,-476.0
439,-457.5295454545454,-499.0
440,-457.609977324263,-493.0
441,-457.58597285067873,-447.0
442,-457.5733634311512,-452.0
443,-457.73873873873873,-531.0
444,-457.7752808988764,-474.0
445,-457.8968609865471,-512.0
446,-457.9261744966443,-471.0
447,-458.07589285714283,-525.0
448,-458.1336302895323,-484.0
449,-457.9977777777778,-397.0
450,-457.97117516629714,-446.0
451,-457.85176991150445,-404.0
452,-457.9139072847682,-486.0
453,-457.7863436123348,-400.0
454,-457.84835164835164,-486.0
455,-457.8070175438597,-439.0
456,-457.80306345733044,-456.0
457,-457.8362445414847,-473.0
458,-457.85185185185185,-465.0
459,-457.7195652173913,-397.0
460,-457.704989154013,-451.0
461,-457.8225108225108,-512.0
462,-457.8401727861771,-466.0
463,-458.20258620689657,-626.0
464,-458.1784946236559,-447.0
465,-458.3733905579399,-549.0
466,-458.3019271948608,-425.0
467,-458.3205128205128,-467.0
468,-458.4371002132196,-513.0
469,-458.4297872340426,-455.0
470,-458.5350318471338,-508.0
471,-458.5148305084746,-449.0
472,-458.5095137420719,-456.0
473,-458.63713080168776,-519.0
474,-458.5157894736842,-401.0
475,-458.6197478991597,-508.0
476,-458.5828092243187,-441.0
