======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:57:21
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 114
Win Rate: 11.40%
Evaluation Runtime: 462.75 seconds (7.71 minutes)
Model: dqn_nrs_2k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 1298.36
Std Dev Score: 3350.45
Min Score: -671.00
Max Score: 11328.00
Median Score: 153.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1823.26 moves
Min Length: 88 moves
Max Length: 2998 moves
Median Length: 1710 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
214    No     20.00      2998      
215    No     316.00     1602      
216    No     420.00     2998      
217    No     416.00     1031      
218    No     138.00     1446      
219    Yes    10569.00   1801      
220    Yes    10539.00   1891      
221    No     -494.00    2770      
222    Yes    10460.00   2128      
223    Yes    10383.00   2359      
224    No     474.00     618       
225    No     -266.00    227       
226    No     -414.00    311       
227    Yes    10194.00   2326      
228    Yes    10847.00   1567      
229    Yes    10924.00   1336      
230    No     229.00     1441      
231    No     -204.00    280       
232    No     160.00     2998      
233    No     340.00     2998      
234    No     -271.00    212       
235    Yes    10742.00   1882      
236    No     160.00     2998      
237    No     -558.00    894       
238    Yes    10799.00   1711      
239    No     -262.00    275       
240    No     72.00      234       
241    No     -40.00     2998      
242    No     -20.00     870       
243    No     290.00     2998      
244    No     -232.00    2946      
245    No     150.00     928       
246    No     340.00     2998      
247    No     320.00     2998      
248    Yes    10567.00   1207      
249    No     160.00     2998      
250    Yes    10820.00   1048      
251    Yes    10440.00   2788      
252    No     388.00     786       
253    No     -100.00    2998      
254    No     90.00      930       
255    No     79.00      482       
256    No     62.00      1164      
257    Yes    10977.00   1177      
258    No     150.00     2998      
259    No     -100.00    2998      
260    No     460.00     659       
261    No     -382.00    546       
262    Yes    10338.00   2494      
263    No     -142.00    305       
264    No     360.00     2998      
265    No     110.00     2998      
266    No     -460.00    449       
267    No     -509.00    2875      
268    No     215.00     1483      
269    No     70.00      2998      
270    Yes    10800.00   1108      
271    No     197.00     1237      
272    Yes    10780.00   1168      
273    No     220.00     2998      
274    Yes    10367.00   2407      
275    No     148.00     1474      
276    No     200.00     1590      
277    No     52.00      1523      
278    No     214.00     1128      
279    No     28.00      275       
280    Yes    10598.00   1714      
281    No     122.00     443       
282    No     -228.00    264       
283    No     345.00     1065      
284    No     480.00     750       
285    No     236.00     701       
286    No     90.00      2998      
287    No     100.00     508       
288    No     -193.00    307       
289    No     -50.00     2998      
290    No     -140.00    1290      
291    No     -242.00    2706      
292    No     160.00     2998      
293    No     454.00     946       
294    No     -200.00    2998      
295    No     -48.00     1913      
296    No     44.00      407       
297    No     -50.00     2998      
298    Yes    10203.00   2899      
299    Yes    10211.00   2875      
300    Yes    10678.00   1474      
301    No     416.00     762       
302    Yes    10612.00   1072      
303    No     -120.00    538       
304    No     260.00     2998      
305    Yes    10480.00   2068      
306    No     -602.00    1025      
307    No     -256.00    2748      
308    Yes    10860.00   1528      
309    No     -18.00     1524      
310    No     444.00     887       
311    No     81.00      1615      
312    No     287.00     1688      
313    No     530.00     2998      
314    No     306.00     1570      
315    No     98.00      455       
316    No     -80.00     2998      
317    No     -40.00     2998      
318    Yes    10792.00   1732      
319    No     -398.00    2302      
320    No     150.00     2998      
321    No     122.00     2182      
322    No     392.00     744       
323    No     -391.00    2551      
324    No     70.00      2998      
325    No     -100.00    2998      
326    No     350.00     2998      
327    Yes    10516.00   1960      
328    No     251.00     685       
329    No     140.00     2998      
330    Yes    10524.00   1936      
331    No     90.00      2998      
332    No     360.00     2998      
333    No     206.00     1151      
334    No     14.00      1096      
335    No     350.00     2998      
336    No     308.00     784       
337    No     186.00     1092      
338    No     -331.00    2942      
339    No     246.00     1000      
340    No     -164.00    2470      
341    No     150.00     1529      
342    No     340.00     2998      
343    No     -70.00     2998      
344    No     125.00     524       
345    No     550.00     2998      
346    No     360.00     2998      
347    No     150.00     2998      
348    No     -100.00    2998      
349    No     70.00      1499      
350    No     560.00     2998      
351    No     408.00     574       
352    Yes    10855.00   943       
353    No     290.00     2998      
354    No     -86.00     318       
355    No     -50.00     479       
356    No     -155.00    1693      
357    No     392.00     1072      
358    No     -52.00     546       
359    No     -40.00     2998      
360    No     460.00     959       
361    No     150.00     2998      
362    No     470.00     2998      
363    No     430.00     2998      
364    No     -100.00    2998      
365    No     333.00     441       
366    No     263.00     1189      
367    No     550.00     2998      
368    No     252.00     1193      
369    No     345.00     1185      
370    No     112.00     653       
371    No     238.00     334       
372    No     -402.00    2314      
373    No     -100.00    2998      
374    No     136.00     612       
375    No     176.00     1032      
376    No     -50.00     1890      
377    No     40.00      2998      
378    No     550.00     2998      
379    No     -162.00    1414      
380    Yes    10422.00   2242      
381    Yes    10447.00   2167      
382    No     162.00     442       
383    No     440.00     690       
384    Yes    10834.00   1006      
385    No     40.00      2998      
386    Yes    10741.00   1285      
387    No     147.00     2079      
388    No     358.00     1116      
389    No     410.00     749       
390    No     226.00     1721      
391    No     20.00      2998      
392    No     -264.00    551       
393    No     -177.00    1789      
394    No     160.00     2998      
395    No     -130.00    2998      
396    No     550.00     2998      
397    No     234.00     798       
398    No     420.00     808       
399    No     244.00     1246      
400    No     410.00     1019      
401    No     36.00      1121      
402    No     360.00     2998      
403    No     -226.00    226       
404    No     -12.00     1234      
405    No     10.00      2998      
406    Yes    10950.00   1258      
407    No     588.00     454       
408    No     270.00     2998      
409    No     -544.00    762       
410    No     60.00      1140      
411    No     84.00      408       
412    No     156.00     251       
413    No     -120.00    2998      
414    No     226.00     462       
415    No     62.00      2304      
416    No     356.00     1060      
417    No     290.00     1648      
418    No     409.00     1141      
419    No     -8.00      292       
420    Yes    10786.00   1150      
421    Yes    10100.00   2608      
422    No     360.00     2998      
423    No     460.00     1709      
424    No     -98.00     2572      
425    No     150.00     2998      
426    No     2.00       294       
427    No     381.00     1015      
428    No     -536.00    618       
429    Yes    11001.00   1105      
430    No     160.00     2998      
431    No     112.00     2842      
432    No     -204.00    341       
433    No     152.00     1163      
434    No     20.00      2998      
435    No     202.00     742       
436    No     -642.00    2914      
437    Yes    10854.00   1546      
438    No     430.00     1650      
439    No     385.00     704       
440    No     -190.00    268       
441    No     598.00     456       
442    No     286.00     762       
443    No     60.00      2998      
444    No     140.00     2998      
445    No     444.00     618       
446    No     110.00     2998      
447    Yes    10427.00   2827      
448    No     194.00     2448      
449    No     -275.00    2775      
450    No     372.00     893       
451    Yes    10801.00   1705      
452    No     -258.00    413       
453    Yes    10695.00   1423      
454    No     597.00     967       
455    No     233.00     1129      
456    No     -506.00    2506      
457    No     268.00     1506      
458    No     259.00     1143      
459    No     170.00     479       
460    No     174.00     558       
461    No     378.00     845       
462    No     220.00     2998      
463    No     389.00     1231      
464    No     444.00     1097      
465    Yes    11088.00   844       
466    No     347.00     1087      
467    No     334.00     1488      
468    No     530.00     2998      
469    No     95.00      2145      
470    No     -190.00    2188      
471    No     -40.00     2998      
472    No     676.00     701       
473    No     110.00     2998      
474    No     684.00     617       
