episode,avg_reward
0,-148.79999999999995
1,-245.79999999999995
2,-209.79999999999995
3,-220.17499999999995
4,-238.63999999999996
5,-239.8333333333333
6,-235.8285714285714
7,-225.14999999999995
8,-206.01111111111106
9,-224.13999999999996
10,-229.49999999999997
11,-271.6916666666666
12,-282.2538461538461
13,-266.11428571428564
14,-274.17333333333323
15,-269.7374999999999
16,-279.9823529411764
17,-274.48888888888877
18,-272.13684210526304
19,-271.3349999999999
20,-268.4333333333332
21,-267.9999999999999
22,-265.4565217391303
23,-257.78749999999985
24,-229.45599999999988
25,-238.2230769230768
26,-248.03333333333322
27,-253.49642857142845
28,-237.37241379310336
29,-237.47333333333324
30,-237.3451612903225
31,-241.6843749999999
32,-247.1999999999999
33,-238.32058823529403
34,-240.18857142857132
35,-246.6249999999999
36,-238.55405405405395
37,-238.82631578947357
38,-237.46666666666655
39,-241.6199999999999
40,-241.80975609756086
41,-246.8738095238094
42,-252.69767441860452
43,-253.34090909090898
44,-257.8488888888888
45,-256.11739130434773
46,-254.43829787234034
47,-253.10208333333324
48,-250.03265306122444
49,-252.51399999999995
50,-251.5980392156862
51,-257.35384615384606
52,-252.3679245283018
53,-255.0666666666666
54,-256.8145454545454
55,-255.4321428571428
56,-251.64385964912276
57,-252.79137931034478
58,-254.6101694915254
59,-254.10666666666663
60,-253.24590163934423
61,-254.8306451612903
62,-257.4761904761904
63,-260.9265625
64,-254.1907692307692
65,-256.94696969696963
66,-259.2955223880596
67,-254.79852941176463
68,-254.4072463768115
69,-253.54571428571418
70,-255.15774647887315
71,-257.2555555555555
72,-255.2054794520547
73,-257.4175675675675
74,-257.0746666666666
75,-257.65921052631575
76,-256.2532467532467
77,-248.13974358974357
78,-250.68101265822784
79,-250.92
80,-253.0086419753086
81,-251.6024390243902
82,-253.0481927710843
83,-253.34761904761902
84,-254.28588235294112
85,-253.74999999999997
86,-251.2781609195402
87,-253.23522727272723
88,-254.92247191011234
89,-255.2722222222222
90,-253.97252747252747
91,-252.6108695652174
92,-254.39892473118283
93,-253.7372340425532
94,-256.1515789473684
95,-256.73333333333335
96,-255.7360824742268
97,-253.51836734693882
98,-254.9909090909091
99,-255.40500000000003
100,-257.8316831683169
101,-256.8568627450981
102,-255.86504854368937
103,-256.08750000000003
104,-255.45428571428576
105,-255.75566037735854
106,-255.57009345794398
107,-256.400925925926
108,-256.8706422018349
109,-258.0954545454546
110,-259.6567567567568
111,-259.7071428571429
112,-260.2805309734514
113,-253.67368421052635
114,-254.38695652173917
115,-251.62413793103454
116,-253.7666666666667
117,-252.21271186440683
118,-253.75042016806728
119,-254.09166666666673
