episode,avg_reward
0,-286.0
1,-360.5
2,-381.3333333333333
3,-403.75
4,-419.4
5,-453.1666666666667
6,-442.57142857142856
7,-449.0
8,-447.3333333333333
9,-449.9
10,-444.54545454545456
11,-441.25
12,-446.0769230769231
13,-444.5
14,-442.93333333333334
15,-437.5
16,-430.5882352941176
17,-430.5
18,-432.2105263157895
19,-436.35
20,-430.5238095238095
21,-427.27272727272725
22,-429.7391304347826
23,-425.1666666666667
24,-422.16
25,-402.1923076923077
26,-399.85185185185185
27,-403.57142857142856
28,-403.1034482758621
29,-402.93333333333334
30,-408.741935483871
31,-407.0625
32,-406.1818181818182
33,-404.70588235294116
34,-406.62857142857143
35,-405.4166666666667
36,-404.7837837837838
37,-405.3157894736842
38,-407.1794871794872
39,-404.275
40,-405.0975609756098
41,-406.7857142857143
42,-406.3488372093023
43,-405.70454545454544
44,-405.68888888888887
45,-407.4130434782609
46,-404.51063829787233
47,-405.5208333333333
48,-405.1224489795918
49,-405.9
50,-405.5098039215686
51,-404.8076923076923
52,-404.3018867924528
53,-403.68518518518516
54,-403.0
55,-401.0
56,-400.96491228070175
57,-398.7241379310345
58,-400.6271186440678
59,-398.46666666666664
60,-398.1967213114754
61,-397.6290322580645
62,-398.6190476190476
63,-397.71875
64,-397.67692307692306
65,-387.22727272727275
66,-384.5074626865672
67,-384.6764705882353
68,-384.7536231884058
69,-384.8857142857143
70,-384.76056338028167
71,-383.9583333333333
72,-383.6575342465753
73,-384.85135135135135
74,-385.16
75,-385.5131578947368
76,-381.31168831168833
77,-380.3333333333333
78,-378.9367088607595
79,-379.675
80,-377.95061728395063
81,-377.9024390243902
82,-378.0843373493976
83,-378.35714285714283
84,-376.6823529411765
85,-375.72093023255815
86,-375.04597701149424
87,-373.04545454545456
88,-373.438202247191
89,-372.9888888888889
90,-373.3296703296703
91,-373.8804347826087
92,-374.2043010752688
93,-374.43617021276594
94,-377.58947368421053
95,-377.5833333333333
96,-375.96907216494844
97,-375.90816326530614
98,-375.3333333333333
99,-375.35
