episode,avg_reward,static_rewards
227,-472.7105263157895,-448.0
228,-472.68995633187774,-468.0
229,-472.4173913043478,-410.0
230,-472.3679653679654,-461.0
231,-472.55172413793105,-515.0
232,-472.3948497854077,-436.0
233,-472.35470085470087,-463.0
234,-472.30212765957447,-460.0
235,-472.4449152542373,-506.0
236,-472.5822784810127,-505.0
237,-472.65546218487395,-490.0
238,-472.59414225941424,-458.0
239,-472.62083333333334,-479.0
240,-472.75103734439836,-504.0
241,-472.6652892561983,-452.0
242,-472.1522633744856,-348.0
243,-471.99590163934425,-434.0
244,-471.8857142857143,-445.0
245,-471.7317073170732,-434.0
246,-471.38461538461536,-386.0
247,-471.4475806451613,-487.0
248,-471.5140562248996,-488.0
249,-471.116,-372.0
250,-471.2390438247012,-502.0
251,-471.4761904761905,-531.0
252,-471.05928853754943,-366.0
253,-471.6023622047244,-609.0
254,-471.89019607843136,-545.0
255,-472.0234375,-506.0
256,-471.7198443579766,-394.0
257,-471.45348837209303,-403.0
258,-471.3938223938224,-456.0
259,-471.3538461538462,-461.0
260,-471.7739463601533,-581.0
261,-471.6793893129771,-447.0
262,-471.361216730038,-388.0
263,-471.29545454545456,-454.0
264,-471.29056603773586,-470.0
265,-470.92857142857144,-375.0
266,-471.07865168539325,-511.0
267,-471.29477611940297,-529.0
268,-471.31226765799255,-476.0
269,-471.1703703703704,-433.0
270,-471.7343173431734,-624.0
271,-471.7720588235294,-482.0
272,-471.8241758241758,-486.0
273,-471.85036496350364,-479.0
274,-471.51272727272726,-379.0
275,-471.6847826086956,-519.0
276,-471.52707581227435,-428.0
277,-471.46762589928056,-455.0
278,-471.42293906810033,-459.0
279,-472.2107142857143,-692.0
280,-472.38078291814946,-520.0
281,-472.28723404255317,-446.0
282,-472.02120141342755,-397.0
283,-472.2887323943662,-548.0
284,-472.59298245614036,-559.0
285,-472.6888111888112,-500.0
286,-472.62020905923345,-453.0
287,-472.3298611111111,-389.0
288,-472.53287197231833,-531.0
289,-472.92413793103447,-586.0
290,-472.89003436426117,-463.0
291,-472.75342465753425,-433.0
292,-472.77815699658703,-480.0
293,-472.77891156462584,-473.0
294,-473.01355932203387,-542.0
295,-472.5405405405405,-333.0
296,-472.4646464646465,-450.0
297,-472.5,-483.0
298,-472.9799331103679,-616.0
299,-472.6066666666667,-361.0
300,-473.0498338870432,-606.0
301,-472.7615894039735,-386.0
302,-472.57755775577556,-417.0
303,-472.3881578947368,-415.0
304,-472.25573770491803,-432.0
305,-472.1470588235294,-439.0
306,-472.2247557003257,-496.0
307,-472.06168831168833,-422.0
308,-471.7411003236246,-373.0
309,-471.7516129032258,-475.0
310,-471.7395498392283,-468.0
311,-471.32371794871796,-342.0
312,-471.37699680511184,-488.0
313,-471.4171974522293,-484.0
314,-470.77777777777777,-270.0
315,-470.48417721518985,-378.0
316,-470.33753943217664,-424.0
317,-470.22641509433964,-435.0
318,-470.2037617554859,-463.0
319,-470.21875,-475.0
320,-470.2772585669782,-489.0
321,-470.2670807453416,-467.0
322,-469.99380804953563,-382.0
323,-470.0432098765432,-486.0
324,-470.12307692307695,-496.0
325,-469.92024539877303,-404.0
326,-469.7492354740061,-414.0
327,-469.6707317073171,-444.0
328,-469.5440729483283,-428.0
329,-469.5939393939394,-486.0
330,-469.7069486404834,-507.0
331,-469.6234939759036,-442.0
332,-469.59159159159157,-459.0
333,-469.5508982035928,-456.0
334,-469.23880597014926,-365.0
335,-469.3363095238095,-502.0
336,-469.1424332344214,-404.0
337,-469.08284023668637,-449.0
338,-469.3598820058997,-563.0
339,-469.16470588235296,-403.0
340,-469.2844574780059,-510.0
341,-469.2602339181287,-461.0
342,-469.3673469387755,-506.0
343,-469.4970930232558,-514.0
344,-469.3652173913043,-424.0
345,-469.41907514450867,-488.0
346,-469.38616714697406,-458.0
347,-469.514367816092,-514.0
348,-469.50429799426934,-466.0
349,-469.32,-405.0
350,-469.0826210826211,-386.0
351,-469.04829545454544,-457.0
352,-469.04532577903683,-468.0
353,-469.2090395480226,-527.0
354,-468.90140845070425,-360.0
355,-468.8792134831461,-461.0
356,-468.7703081232493,-430.0
357,-468.69832402234636,-443.0
358,-468.53203342618383,-409.0
359,-468.63055555555553,-504.0
360,-468.73961218836564,-508.0
361,-468.6325966850829,-430.0
362,-468.7245179063361,-502.0
363,-468.71153846153845,-464.0
364,-468.85205479452054,-520.0
365,-468.57923497267757,-369.0
366,-469.04632152588556,-640.0
367,-469.1304347826087,-500.0
368,-468.8211382113821,-355.0
369,-467.9,-128.0
370,-467.7601078167116,-416.0
371,-467.744623655914,-462.0
372,-467.66219839142093,-437.0
373,-467.4117647058824,-374.0
374,-467.43733333333336,-477.0
375,-467.3989361702128,-453.0
376,-467.39787798408486,-467.0
377,-467.3862433862434,-463.0
378,-467.30343007915565,-436.0
379,-467.5657894736842,-567.0
380,-467.6115485564304,-485.0
381,-467.6937172774869,-499.0
382,-467.5248041775457,-403.0
383,-467.4010416666667,-420.0
384,-467.33246753246755,-441.0
385,-467.3238341968912,-464.0
386,-467.43152454780363,-509.0
387,-467.3917525773196,-452.0
388,-467.12853470437017,-365.0
389,-466.97435897435895,-407.0
390,-467.0843989769821,-510.0
391,-467.2525510204082,-533.0
