episode,avg_reward
0,-399.0
1,-440.0
2,-425.3333333333333
3,-435.5
4,-440.4
5,-353.6666666666667
6,-363.2857142857143
7,-378.25
8,-390.55555555555554
9,-383.1
10,-387.90909090909093
11,-393.6666666666667
12,-400.3076923076923
13,-402.57142857142856
14,-405.06666666666666
15,-405.0625
16,-407.70588235294116
17,-402.55555555555554
18,-399.0
19,-397.5
20,-399.7142857142857
21,-403.45454545454544
22,-407.39130434782606
23,-410.0416666666667
24,-415.52
25,-414.65384615384613
26,-410.51851851851853
27,-410.89285714285717
28,-413.37931034482756
29,-410.76666666666665
30,-413.19354838709677
31,-413.84375
32,-400.1515151515151
33,-401.97058823529414
34,-382.7142857142857
35,-383.5833333333333
36,-384.1081081081081
37,-384.10526315789474
38,-385.53846153846155
39,-387.075
40,-374.4146341463415
41,-374.4761904761905
42,-361.95348837209303
43,-361.75
44,-362.7111111111111
45,-363.1304347826087
46,-364.27659574468083
47,-367.5625
48,-368.7755102040816
49,-364.84
50,-366.29411764705884
51,-360.13461538461536
52,-361.64150943396226
53,-362.8888888888889
54,-354.07272727272726
55,-355.94642857142856
56,-358.10526315789474
57,-359.44827586206895
58,-360.47457627118644
59,-360.9
60,-363.95081967213116
61,-355.88709677419354
62,-355.015873015873
63,-357.46875
64,-359.0615384615385
65,-358.1666666666667
66,-360.25373134328356
67,-361.5147058823529
68,-352.27536231884056
69,-345.9
70,-346.77464788732397
71,-340.06944444444446
72,-341.3424657534247
73,-342.44594594594594
74,-342.0933333333333
75,-343.2368421052632
76,-344.0
77,-345.4102564102564
78,-347.0506329113924
79,-347.575
80,-341.08641975308643
81,-342.3536585365854
82,-341.89156626506025
83,-341.5952380952381
84,-343.0705882352941
85,-344.83720930232556
86,-339.3103448275862
87,-334.70454545454544
88,-331.46067415730334
89,-331.9
90,-333.4725274725275
91,-335.2826086956522
92,-335.4516129032258
93,-336.9255319148936
94,-337.4736842105263
95,-337.6875
96,-339.12371134020617
97,-339.42857142857144
98,-340.1212121212121
99,-341.5
100,-342.86138613861385
101,-339.2647058823529
102,-339.9126213592233
103,-341.5576923076923
104,-342.46666666666664
105,-343.0566037735849
106,-344.21495327102804
107,-340.80555555555554
