episode,avg_reward
534,-369.34018691588784
535,-369.32276119402985
536,-369.4115456238361
537,-369.496282527881
538,-369.33209647495363
539,-369.40185185185186
540,-369.38447319778186
541,-369.309963099631
542,-369.4659300184162
543,-369.3805147058824
544,-368.91192660550456
545,-368.7875457875458
546,-367.86837294332724
547,-367.59671532846716
548,-367.5045537340619
549,-367.37636363636364
550,-366.9274047186933
551,-366.44565217391306
552,-366.38517179023506
553,-365.44404332129966
554,-365.56216216216217
555,-365.2643884892086
556,-365.0754039497307
557,-365.1702508960573
558,-365.1520572450805
559,-364.4035714285714
560,-364.4777183600713
561,-362.2846975088968
562,-361.9200710479574
563,-362.02127659574467
564,-361.8619469026549
565,-361.69257950530033
566,-361.5837742504409
567,-361.38380281690144
568,-361.2934973637961
569,-360.5473684210526
570,-360.2661996497373
571,-359.6748251748252
572,-359.6719022687609
573,-359.32229965156796
574,-359.49391304347824
575,-359.51215277777777
576,-359.4540727902946
577,-359.51903114186854
578,-359.6753022452504
579,-359.78620689655173
580,-358.9879518072289
581,-359.0962199312715
582,-359.0686106346484
583,-357.9058219178082
584,-357.9726495726496
585,-357.89078498293514
586,-357.93185689948893
587,-357.5459183673469
588,-357.553480475382
589,-356.79661016949154
590,-356.834179357022
591,-356.66047297297297
592,-356.5564924114671
593,-355.95117845117846
594,-355.8672268907563
595,-355.66442953020135
596,-355.16917922948073
597,-355.23745819397993
598,-354.84974958263774
599,-354.625
600,-354.7004991680532
601,-354.4750830564784
602,-353.9071310116086
603,-353.9884105960265
604,-354.22314049586777
605,-354.34653465346537
606,-354.1334431630972
607,-354.33388157894734
608,-354.0361247947455
609,-353.9327868852459
610,-353.7626841243862
611,-353.7532679738562
612,-353.9331158238173
613,-354.0928338762215
614,-353.73333333333335
615,-353.4448051948052
616,-353.4035656401945
617,-353.1019417475728
618,-353.1631663974152
619,-353.08870967741933
620,-353.08051529790663
621,-353.2250803858521
622,-352.90208667736755
623,-352.96314102564105
624,-352.8896
625,-352.79872204472844
626,-352.8325358851675
627,-352.95063694267515
628,-352.785373608903
629,-352.5920634920635
630,-351.83676703645006
631,-351.6598101265823
632,-351.6240126382306
633,-351.7381703470032
634,-351.81732283464567
635,-351.70283018867923
636,-351.72841444270017
637,-351.7460815047022
638,-351.8184663536776
639,-351.6984375
640,-351.798751950078
641,-351.89096573208724
642,-351.1741835147745
643,-351.22049689440996
644,-350.71627906976744
645,-350.6780185758514
646,-350.6166924265842
647,-350.6929012345679
648,-350.1124807395994
649,-349.9553846153846
650,-348.98463901689706
651,-348.65337423312883
652,-348.3062787136294
653,-347.86850152905197
654,-347.6412213740458
655,-347.2926829268293
656,-347.20243531202436
657,-347.0273556231003
658,-346.7405159332322
659,-346.56666666666666
660,-346.51891074130106
661,-346.2009063444109
662,-346.209653092006
663,-346.0015060240964
664,-345.6766917293233
665,-345.3033033033033
666,-345.3103448275862
667,-345.1931137724551
668,-345.05979073243645
669,-344.9268656716418
670,-344.37406855439644
671,-343.89136904761904
672,-343.83506686478455
673,-343.1379821958457
674,-343.1585185185185
675,-342.70710059171597
676,-342.5465288035451
677,-342.6504424778761
678,-342.57142857142856
679,-342.3794117647059
680,-342.3333333333333
681,-342.40909090909093
682,-342.4538799414348
683,-342.1067251461988
684,-341.91678832116787
685,-341.70553935860056
686,-341.53275109170306
687,-341.21947674418607
688,-341.2031930333817
689,-340.9391304347826
690,-341.03473227206945
691,-340.34393063583815
692,-339.5468975468975
693,-339.1628242074928
694,-339.18992805755397
695,-339.0617816091954
696,-339.11047345767577
697,-339.2378223495702
698,-339.3218884120172
699,-339.0128571428571
700,-338.27246790299574
701,-337.7122507122507
702,-337.8876244665718
703,-337.70028409090907
704,-337.46241134751773
705,-337.55665722379604
706,-337.0622347949081
707,-336.59887005649716
708,-335.8561354019746
709,-335.5422535211268
710,-335.64275668073134
711,-335.21488764044943
