======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 14:43:44
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 653
Win Rate: 65.30%
Evaluation Runtime: 303.89 seconds (5.06 minutes)
Model: dqn_ep2000_rs_on.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 7196.86
Std Dev Score: 5026.46
Min Score: -436.00
Max Score: 11437.00
Median Score: 10697.50

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1175.01 moves
Min Length: 85 moves
Max Length: 2998 moves
Median Length: 1063 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
194    Yes    10850.00   958       
195    Yes    10673.00   889       
196    Yes    10576.00   1180      
197    Yes    10809.00   1081      
198    No     324.00     737       
199    Yes    11122.00   1342      
200    Yes    10847.00   967       
201    Yes    10919.00   1351      
202    Yes    10776.00   1180      
203    No     387.00     759       
204    No     752.00     804       
205    Yes    10741.00   1285      
206    No     594.00     557       
207    Yes    11054.00   946       
208    No     -383.00    97        
209    Yes    11056.00   940       
210    No     360.00     2998      
211    No     438.00     1266      
212    Yes    10647.00   1567      
213    Yes    10654.00   946       
214    No     -18.00     262       
215    No     454.00     557       
216    No     664.00     587       
217    Yes    10721.00   1345      
218    No     360.00     2998      
219    Yes    10853.00   949       
220    No     393.00     769       
221    Yes    10656.00   1540      
222    No     346.00     672       
223    No     4.00       316       
224    Yes    11165.00   1213      
225    Yes    10816.00   1060      
226    Yes    10739.00   1291      
227    Yes    10789.00   1141      
228    Yes    11207.00   1087      
229    Yes    10787.00   1147      
230    Yes    10779.00   1171      
231    Yes    10571.00   1195      
232    Yes    10811.00   1075      
233    Yes    11029.00   1021      
234    Yes    10828.00   1024      
235    No     607.00     549       
236    Yes    11008.00   1084      
237    Yes    10720.00   1348      
238    Yes    10628.00   1624      
239    Yes    10635.00   1003      
240    Yes    10572.00   1792      
241    No     73.00      410       
242    Yes    11091.00   835       
243    Yes    10724.00   1336      
244    Yes    10788.00   1144      
245    Yes    10778.00   1174      
246    Yes    10552.00   1252      
247    Yes    10619.00   1051      
248    Yes    11027.00   1027      
249    No     -4.00      310       
250    No     682.00     744       
251    Yes    10591.00   2335      
252    No     288.00     694       
253    Yes    10428.00   1624      
254    Yes    11060.00   928       
255    Yes    10837.00   997       
256    Yes    11088.00   844       
257    No     28.00      424       
258    No     342.00     954       
259    No     354.00     1396      
260    Yes    10961.00   1225      
261    Yes    11032.00   1012      
262    Yes    11220.00   1048      
263    No     84.00      887       
264    Yes    10815.00   1063      
265    Yes    10860.00   928       
266    Yes    11095.00   823       
267    Yes    10659.00   931       
268    No     -60.00     210       
269    No     420.00     570       
270    No     408.00     1294      
271    Yes    10670.00   2698      
272    Yes    10804.00   1096      
273    No     -151.00    2431      
274    No     202.00     682       
275    No     51.00      777       
276    Yes    11421.00   1045      
277    Yes    10992.00   1132      
278    No     360.00     2998      
279    Yes    10873.00   889       
280    Yes    10808.00   1084      
281    Yes    11040.00   988       
282    Yes    11264.00   1516      
283    No     458.00     454       
284    Yes    10872.00   892       
285    No     266.00     1030      
286    No     160.00     2998      
287    Yes    10584.00   1156      
288    No     538.00     605       
289    No     330.00     570       
290    Yes    10745.00   1273      
291    Yes    10774.00   1186      
292    No     593.00     740       
293    Yes    10929.00   1921      
294    Yes    10678.00   1474      
295    Yes    10783.00   1159      
296    No     459.00     663       
297    Yes    11036.00   1000      
298    No     536.00     882       
299    Yes    10865.00   913       
300    No     660.00     1200      
301    Yes    10692.00   1432      
302    Yes    10855.00   943       
303    No     667.00     937       
304    Yes    11008.00   1084      
305    Yes    10839.00   991       
306    Yes    10548.00   1264      
307    No     276.00     1090      
308    Yes    10444.00   2776      
309    Yes    10644.00   976       
310    No     241.00     1255      
311    Yes    11205.00   1093      
312    No     598.00     546       
313    Yes    10939.00   1891      
314    Yes    11088.00   844       
315    Yes    11067.00   907       
316    No     384.00     738       
317    No     183.00     619       
318    Yes    11154.00   1246      
319    Yes    11020.00   1048      
320    No     506.00     641       
321    Yes    11222.00   1042      
322    Yes    10672.00   1492      
323    Yes    11057.00   937       
324    Yes    10663.00   919       
325    Yes    11206.00   1090      
326    Yes    10882.00   862       
327    No     191.00     595       
328    No     662.00     1194      
329    No     644.00     527       
330    Yes    10873.00   1489      
331    Yes    10712.00   1972      
332    Yes    10384.00   2956      
333    Yes    10895.00   823       
334    No     426.00     582       
335    Yes    10754.00   1246      
336    Yes    10757.00   1237      
337    Yes    10734.00   1906      
338    No     18.00      1146      
339    Yes    10726.00   1330      
340    Yes    10643.00   979       
341    No     328.00     456       
342    Yes    10659.00   1531      
343    No     70.00      719       
344    Yes    10641.00   1585      
345    Yes    11023.00   1039      
346    Yes    10778.00   1174      
347    Yes    11036.00   1000      
348    Yes    10926.00   1330      
349    Yes    10950.00   1258      
350    Yes    10797.00   1117      
351    No     360.00     2998      
352    Yes    10695.00   1423      
353    Yes    10804.00   1096      
354    Yes    10657.00   937       
355    No     -21.00     302       
356    Yes    11200.00   1108      
357    Yes    10780.00   1168      
358    Yes    10918.00   1354      
359    Yes    10966.00   1210      
360    Yes    10834.00   1006      
361    Yes    10548.00   1864      
362    Yes    10427.00   2227      
363    No     514.00     977       
364    Yes    11173.00   1189      
365    No     281.00     745       
366    Yes    10721.00   1345      
367    Yes    11189.00   1141      
368    No     182.00     623       
369    No     401.00     625       
370    Yes    10845.00   973       
371    Yes    11035.00   1003      
372    Yes    10772.00   1192      
373    No     218.00     514       
374    Yes    10849.00   961       
375    No     436.00     522       
376    No     440.00     690       
377    Yes    10632.00   1612      
378    Yes    11073.00   889       
379    Yes    10684.00   2056      
380    No     -47.00     2119      
381    Yes    10804.00   1096      
382    Yes    10904.00   1396      
383    Yes    11180.00   1168      
384    Yes    10868.00   904       
385    Yes    10719.00   1351      
386    Yes    11071.00   895       
387    No     -379.00    85        
388    Yes    11248.00   964       
389    Yes    10477.00   1477      
390    Yes    10649.00   961       
391    No     182.00     1434      
392    No     514.00     827       
393    No     572.00     864       
394    No     -188.00    292       
395    Yes    11084.00   856       
396    Yes    11065.00   913       
397    Yes    11091.00   835       
398    Yes    11039.00   991       
399    Yes    10832.00   1012      
400    Yes    11264.00   916       
401    No     150.00     2998      
402    No     504.00     646       
403    Yes    10832.00   1012      
404    No     56.00      342       
405    Yes    10981.00   1165      
406    Yes    10583.00   1159      
407    Yes    10718.00   1354      
408    No     646.00     672       
409    No     360.00     2998      
410    No     436.00     640       
411    Yes    10859.00   931       
412    No     240.00     1860      
413    No     150.00     2998      
414    No     58.00      454       
415    No     245.00     2444      
416    No     396.00     492       
417    No     67.00      2979      
418    Yes    10585.00   1153      
419    Yes    10835.00   1003      
420    No     458.00     1204      
421    No     215.00     1305      
422    No     254.00     1158      
423    No     476.00     821       
424    Yes    10472.00   2692      
425    Yes    10641.00   985       
426    Yes    11049.00   961       
427    Yes    10778.00   1174      
428    No     -14.00     250       
429    Yes    10825.00   1033      
430    Yes    11008.00   1084      
431    Yes    10727.00   1327      
432    Yes    10781.00   1165      
433    Yes    10311.00   2575      
434    No     132.00     383       
435    No     198.00     574       
436    Yes    11049.00   961       
437    No     489.00     1083      
438    Yes    10996.00   1120      
439    Yes    10990.00   1138      
440    No     752.00     924       
441    Yes    10769.00   1201      
442    Yes    10580.00   1768      
443    Yes    10825.00   1033      
444    Yes    10993.00   1129      
445    Yes    11153.00   1249      
446    Yes    11084.00   856       
447    Yes    11012.00   1072      
448    Yes    11148.00   1264      
449    Yes    10985.00   1153      
450    Yes    10667.00   1507      
451    No     -14.00     282       
452    No     -320.00    2338      
453    Yes    10892.00   1432      
454    Yes    10722.00   1342      
455    Yes    11025.00   1033      
456    Yes    10663.00   1519      
457    Yes    10987.00   1147      
458    No     560.00     2998      
459    Yes    10968.00   1204      
