======================================================================
DQN Agent Evaluation Results
======================================================================
Generated: 2025-12-08 15:02:45
======================================================================

SUMMARY STATISTICS
----------------------------------------------------------------------
Agent Type: dqn
Games Played: 1000
Wins: 491
Win Rate: 49.10%
Evaluation Runtime: 283.59 seconds (4.73 minutes)
Model: dqn_nors_10k.pt

HYPERPARAMETERS / CONFIGURATION
----------------------------------------------------------------------
gamma: 0.9
learning_rate: 0.001
epsilon: 1.0
decay_rate: 0.99995
min_epsilon: 0.05
batch_size: 64
discount_factor: 0.9
target_sync_steps: 1000
replay_memory_size: 50000
layout: mediumClassic
num_ghosts: 2
ghost_type: RandomGhost
max_steps: 1000
random_rewards: False
use_reward_shaping: True

SCORE STATISTICS
----------------------------------------------------------------------
Average Score: 5469.03
Std Dev Score: 5280.90
Min Score: -377.00
Max Score: 11442.00
Median Score: 708.00

EPISODE LENGTH STATISTICS
----------------------------------------------------------------------
Average Length: 1215.43 moves
Min Length: 100 moves
Max Length: 2998 moves
Median Length: 1111 moves

INDIVIDUAL GAME RESULTS
----------------------------------------------------------------------
Game   Win    Score      Length    
----------------------------------------------------------------------
1      Yes    11163.00   1219      
2      No     -74.00     402       
3      No     236.00     282       
4      Yes    10334.00   2506      
5      Yes    10536.00   1300      
6      Yes    11020.00   1048      
7      No     560.00     2998      
8      No     142.00     412       
9      Yes    10765.00   1213      
10     No     -103.00    337       
11     No     332.00     682       
12     No     260.00     1079      
13     No     140.00     1588      
14     Yes    10656.00   1540      
15     No     288.00     1114      
16     No     620.00     660       
17     Yes    10760.00   1228      
18     Yes    11051.00   955       
19     Yes    11437.00   997       
20     Yes    10859.00   931       
21     Yes    10755.00   1243      
22     No     -60.00     629       
23     No     76.00      1032      
24     Yes    11001.00   1105      
25     No     126.00     1060      
26     Yes    10445.00   1573      
27     Yes    10999.00   1111      
28     Yes    10971.00   1195      
29     Yes    10870.00   1498      
30     No     40.00      1230      
31     Yes    11174.00   1186      
32     No     360.00     2998      
33     Yes    11011.00   1075      
34     Yes    10701.00   1405      
35     No     73.00      380       
36     Yes    10825.00   1033      
37     No     282.00     1013      
38     Yes    10833.00   1009      
39     Yes    10625.00   1033      
40     No     378.00     426       
41     No     364.00     768       
42     Yes    10698.00   1414      
43     Yes    10946.00   1270      
44     Yes    10699.00   1411      
45     Yes    10797.00   1117      
46     Yes    10985.00   1153      
47     No     282.00     862       
48     Yes    11001.00   1105      
49     No     -258.00    322       
50     Yes    11212.00   1072      
51     Yes    11014.00   1066      
52     Yes    10858.00   1534      
53     Yes    11062.00   922       
54     No     360.00     2998      
55     Yes    10609.00   1081      
56     No     544.00     1517      
57     Yes    11144.00   1276      
58     Yes    10558.00   1234      
59     Yes    11148.00   1264      
60     No     574.00     1338      
61     Yes    10617.00   1657      
62     No     310.00     1619      
63     No     360.00     2998      
64     Yes    10824.00   1636      
65     No     193.00     1399      
66     Yes    10767.00   1207      
67     No     263.00     1101      
68     No     127.00     607       
69     No     479.00     1051      
70     No     -322.00    544       
71     No     440.00     1830      
72     Yes    10898.00   1414      
73     No     456.00     732       
74     Yes    10779.00   1171      
75     No     -360.00    178       
76     No     632.00     1282      
77     No     652.00     773       
78     Yes    10621.00   1045      
79     Yes    10373.00   2389      
80     Yes    10625.00   1633      
81     No     360.00     2998      
82     No     32.00      652       
83     No     254.00     1217      
84     Yes    10816.00   1660      
85     Yes    10753.00   1249      
86     No     322.00     653       
87     No     524.00     767       
88     No     330.00     810       
89     Yes    10564.00   1216      
90     No     -57.00     2751      
91     No     495.00     885       
92     Yes    10953.00   1249      
93     No     55.00      1815      
94     No     455.00     943       
95     Yes    10365.00   1813      
96     No     360.00     2998      
97     Yes    11125.00   1333      
98     No     480.00     690       
99     Yes    10906.00   1390      
100    Yes    10701.00   1405      
101    Yes    10645.00   973       
102    No     366.00     490       
103    No     251.00     385       
104    Yes    10648.00   2164      
105    Yes    10978.00   1174      
106    No     328.00     1085      
107    No     526.00     850       
108    Yes    11089.00   1441      
109    Yes    10670.00   2098      
110    No     204.00     258       
111    No     494.00     1066      
112    No     180.00     1199      
113    Yes    11044.00   976       
114    No     -40.00     2998      
115    Yes    10784.00   1756      
116    Yes    11221.00   1045      
117    Yes    10676.00   1480      
118    No     458.00     665       
119    Yes    11029.00   1021      
120    Yes    10257.00   2737      
121    No     609.00     483       
122    Yes    11047.00   967       
123    No     480.00     570       
124    Yes    11020.00   1048      
125    Yes    10674.00   1486      
126    No     185.00     2024      
127    Yes    10839.00   991       
128    Yes    11002.00   1702      
129    Yes    11085.00   853       
130    Yes    10997.00   1717      
131    Yes    10960.00   1228      
132    No     740.00     900       
133    Yes    10727.00   1327      
134    Yes    10777.00   1777      
135    Yes    10744.00   1276      
136    Yes    10615.00   1063      
137    Yes    11225.00   1033      
138    Yes    10995.00   1123      
139    Yes    10605.00   1093      
140    No     889.00     1053      
141    No     -80.00     2218      
142    No     110.00     630       
143    Yes    10513.00   2569      
144    No     241.00     745       
145    No     362.00     834       
146    Yes    11083.00   859       
147    No     -50.00     2998      
148    Yes    10802.00   1102      
149    Yes    10867.00   907       
150    Yes    10739.00   1291      
151    No     360.00     2998      
152    No     -141.00    2371      
153    No     330.00     598       
154    Yes    10925.00   1333      
155    No     113.00     470       
156    No     484.00     978       
157    No     292.00     952       
158    Yes    11138.00   1294      
159    No     -34.00     942       
160    No     559.00     632       
161    No     360.00     2998      
162    No     62.00      953       
163    Yes    11225.00   1033      
164    No     228.00     1084      
165    No     64.00      286       
166    No     104.00     468       
167    No     340.00     2998      
168    No     160.00     2998      
169    No     634.00     737       
170    No     350.00     2998      
171    No     574.00     676       
172    Yes    10613.00   1069      
173    Yes    10917.00   1357      
174    No     438.00     1175      
175    Yes    10833.00   1009      
176    No     276.00     1750      
177    No     457.00     1117      
178    Yes    11217.00   1057      
179    Yes    10488.00   2644      
180    Yes    10866.00   2110      
181    No     640.00     1258      
182    No     368.00     576       
183    No     23.00      650       
184    No     798.00     844       
185    No     206.00     792       
186    No     168.00     276       
187    Yes    10266.00   2710      
188    Yes    10663.00   1519      
189    No     308.00     995       
190    Yes    10631.00   1615      
191    Yes    10884.00   1456      
192    No     16.00      1332      
193    No     760.00     900       
194    Yes    10913.00   1369      
195    No     509.00     813       
196    Yes    10515.00   1363      
197    No     588.00     665       
198    No     408.00     516       
199    No     -26.00     317       
200    No     702.00     1043      
201    Yes    10844.00   976       
202    Yes    10841.00   985       
203    No     287.00     938       
204    Yes    10617.00   1057      
205    No     350.00     2998      
206    No     514.00     1038      
207    No     -12.00     1116      
208    No     552.00     804       
209    Yes    11259.00   931       
210    No     524.00     736       
211    Yes    10999.00   1111      
212    Yes    10784.00   1156      
213    Yes    10661.00   925       
214    No     160.00     2998      
215    Yes    11161.00   1225      
216    No     594.00     827       
217    Yes    10922.00   1342      
218    Yes    10951.00   1855      
219    Yes    10792.00   1732      
220    No     164.00     438       
221    Yes    10555.00   1243      
222    No     2.00       652       
223    Yes    11066.00   910       
224    No     254.00     1786      
225    Yes    10861.00   925       
226    No     160.00     2998      
227    Yes    10709.00   1381      
228    Yes    11022.00   1042      
229    No     432.00     1133      
230    No     -110.00    240       
231    Yes    10619.00   1051      
232    No     -330.00    148       
233    No     726.00     881       
234    No     714.00     767       
235    No     -46.00     2117      
236    Yes    10978.00   1174      
237    Yes    10779.00   1171      
238    No     194.00     617       
239    No     372.00     802       
240    Yes    10822.00   1042      
241    No     -246.00    2718      
242    No     208.00     786       
243    Yes    10649.00   1561      
244    Yes    10817.00   1057      
245    No     700.00     1019      
246    No     117.00     1507      
247    No     19.00      2493      
248    Yes    10924.00   1336      
249    No     189.00     511       
250    No     -16.00     408       
251    Yes    10942.00   1282      
252    Yes    10621.00   1045      
253    Yes    10977.00   1177      
254    Yes    10657.00   1537      
255    Yes    10682.00   1462      
256    No     512.00     803       
257    Yes    10799.00   1111      
258    Yes    10853.00   1549      
259    Yes    10903.00   1399      
260    No     298.00     1056      
261    No     398.00     1385      
262    No     58.00      784       
263    Yes    10604.00   2296      
264    Yes    10749.00   1261      
265    No     407.00     669       
266    Yes    11413.00   1069      
267    Yes    10684.00   1456      
268    No     558.00     785       
269    No     324.00     796       
270    Yes    10982.00   1762      
271    No     524.00     826       
272    No     461.00     686       
273    Yes    10637.00   997       
274    No     428.00     1236      
275    Yes    10576.00   1780      
276    Yes    10505.00   1993      
277    No     160.00     2998      
278    Yes    10870.00   898       
279    No     462.00     654       
280    Yes    10985.00   1153      
281    Yes    10883.00   2059      
282    No     183.00     2030      
283    Yes    11242.00   982       
284    Yes    10877.00   1477      
285    No     -18.00     474       
286    Yes    10477.00   1477      
287    No     308.00     1206      
288    No     258.00     1146      
289    No     252.00     1824      
290    No     308.00     965       
291    Yes    11101.00   1405      
292    No     150.00     2998      
293    No     515.00     555       
294    Yes    10585.00   1153      
295    No     -141.00    361       
296    Yes    10900.00   1408      
297    Yes    10259.00   2731      
298    No     458.00     484       
299    Yes    11032.00   1012      
300    Yes    11066.00   1510      
301    Yes    10736.00   1300      
302    No     470.00     780       
303    Yes    10739.00   1291      
304    No     -107.00    231       
305    No     336.00     912       
306    No     159.00     2102      
307    No     165.00     433       
308    Yes    10931.00   1315      
309    No     333.00     590       
310    Yes    10822.00   1642      
311    No     -319.00    205       
312    Yes    10724.00   1336      
313    No     548.00     724       
314    No     560.00     2998      
315    No     700.00     930       
316    Yes    11148.00   1264      
317    Yes    10798.00   1114      
318    No     270.00     1139      
319    No     132.00     1073      
320    No     184.00     588       
321    No     393.00     1401      
322    Yes    10789.00   1741      
323    Yes    11045.00   973       
324    Yes    10889.00   1441      
325    No     453.00     979       
326    Yes    10561.00   1825      
327    No     -262.00    364       
328    Yes    10710.00   1378      
329    No     296.00     761       
330    Yes    10373.00   1789      
331    No     52.00      1193      
332    No     228.00     516       
333    No     313.00     1639      
334    No     560.00     2998      
335    No     286.00     341       
336    Yes    10488.00   2044      
337    Yes    10799.00   1711      
338    Yes    10689.00   1441      
339    Yes    10775.00   1183      
340    No     480.00     599       
341    Yes    11006.00   1090      
342    No     194.00     497       
343    Yes    10939.00   1291      
344    Yes    10949.00   1261      
345    Yes    10777.00   1177      
346    Yes    10585.00   1753      
347    No     44.00      1846      
348    Yes    10732.00   2512      
349    No     696.00     1032      
350    No     -27.00     319       
351    No     46.00      581       
352    No     160.00     809       
353    Yes    10746.00   1870      
354    Yes    10732.00   1912      
355    No     31.00      595       
356    Yes    10756.00   1240      
357    Yes    10772.00   1192      
358    No     692.00     1074      
359    Yes    10949.00   1261      
360    Yes    10563.00   1819      
361    No     177.00     578       
362    No     316.00     731       
363    No     60.00      390       
364    Yes    10721.00   1345      
365    Yes    10953.00   1249      
366    No     594.00     1396      
367    No     415.00     1155      
368    Yes    11172.00   1192      
369    Yes    10755.00   1243      
370    No     -377.00    409       
371    No     426.00     1300      
372    Yes    11154.00   1246      
